name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Marcus Bettinelli,GK,Fulham,183,135,14,0,False,2020-12-19T20:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-40,2361,15,55
Marcus Rashford,MID,Man Utd,306,134,10,2,True,2020-12-20T16:30:00Z,6,2,14,70,0,0,0,1,0,0,0,0,0,0,0,14,13.8,14.4,51.0,7.9,95,148472,688683,164363,15891
Marc Albrighton,MID,Leicester,221,137,17,2,False,2020-12-20T14:15:00Z,0,2,14,90,0,0,1,0,0,0,0,1,0,0,0,9,14.2,26.1,26.0,6.6,53,-257,8850,118,375
Marek Rodák,GK,Fulham,186,135,14,0,False,2020-12-19T20:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-294,24922,289,583
Mario Lemina,MID,Fulham,493,135,14,2,False,2020-12-19T20:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,20,18.4,11.7,8.0,3.8,45,-535,24870,290,825
Mark Gillespie,GK,Newcastle,488,135,8,0,True,2020-12-19T20:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-108,6163,48,156
Mark Noble,MID,West Ham,427,131,5,2,False,2020-12-21T20:00:00Z,3,0,14,90,0,0,0,3,0,0,0,0,0,0,0,13,7.4,3.9,6.0,1.7,46,-682,32003,354,1036
Martin Dubravka,GK,Newcastle,326,135,8,0,True,2020-12-19T20:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-175,12262,25,200
Martin Kelly,DEF,Crystal Palace,135,132,11,0,True,2020-12-19T12:30:00Z,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1490,24600,39,1529
Martín Montoya,DEF,Brighton,63,129,15,0,True,2020-12-20T12:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-7,633,1,8
Marvelous Nakamba,MID,Aston Villa,44,138,18,0,False,2020-12-20T19:15:00Z,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,4495,49633,7830,3335
Mason Greenwood,MID,Man Utd,315,134,10,0,True,2020-12-20T16:30:00Z,6,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,71,-27,184641,7602,7629
Mason Holgate,DEF,Everton,165,133,1,2,True,2020-12-19T17:30:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,14,11.2,16.3,4.0,3.2,48,22864,30465,23974,1110
Mason Mount,MID,Chelsea,120,131,19,6,True,2020-12-21T20:00:00Z,3,0,14,90,0,1,1,0,0,0,0,0,0,0,0,29,40.6,61.7,11.0,11.3,69,-8429,458124,31653,40082
Matej Vydra,FWD,Burnley,93,130,20,0,True,2020-12-21T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-532,47053,1568,2100
Mateo Kovacic,MID,Chelsea,107,131,19,1,True,2020-12-21T20:00:00Z,3,0,14,24,0,0,0,0,0,0,0,0,0,0,0,2,1.2,1.6,0.0,0.3,53,-502,20139,448,950
Mateusz Bogusz,MID,Leeds,533,134,13,0,False,2020-12-20T16:30:00Z,6,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-47,955,14,61
Mateusz Klich,MID,Leeds,198,134,13,1,False,2020-12-20T16:30:00Z,6,2,14,45,0,0,0,4,0,0,0,0,0,0,0,5,6.2,27.1,2.0,3.5,55,16104,518880,41870,25766
Matheus Pereira,MID,West Brom,481,138,2,0,True,2020-12-20T19:15:00Z,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-5368,56364,28,5396
Mathew Ryan,GK,Brighton,70,129,15,0,True,2020-12-20T12:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-40082,932077,10976,51058
Matija Sarkic,GK,Wolves,472,130,4,0,False,2020-12-21T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-165,7920,22,187
Matteo Guendouzi,MID,Arsenal,25,133,7,0,False,2020-12-19T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-51,4977,4,55
Matthew Cash,DEF,Aston Villa,496,138,18,6,False,2020-12-20T19:15:00Z,0,3,14,90,0,0,1,0,0,0,0,0,0,0,0,24,13.4,19.1,8.0,4.1,50,657,45367,2801,2144
Matthew Clarke,DEF,Brighton,73,129,15,0,True,2020-12-20T12:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-3,377,3,6
Matthew Longstaff,MID,Newcastle,487,135,8,0,True,2020-12-19T20:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-12,1387,38,50
Matthew Lowton,DEF,Burnley,92,130,20,2,True,2020-12-21T17:30:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,8,8.2,1.1,1.0,1.0,44,7859,20245,8423,564
Matty James,MID,Leicester,222,137,17,0,False,2020-12-20T14:15:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-682,24489,140,822
Matt Doherty,DEF,Spurs,457,137,9,0,True,2020-12-20T14:15:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-22927,410332,1197,24124
Matt Macey,GK,Arsenal,527,133,7,0,False,2020-12-19T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,3480,131830,6426,2946
