player_name,position_x,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists_x,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Adam Lallana,MID,Brighton,53,22,Everton,1,True,2021-08-28,0,2,3,58,0,0,0,2,0,0,0,0,0,0,0,8,0.8,2.2,0.0,0.3,55,-1250,18657,1416,2666,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,62,MC,Brighton,Everton,0,2,2021-08-28,16400,2021,478918,0.0,0,0,0,0.0,0.04848753660917282,0.04848753660917282
Adam Webster,DEF,Brighton,61,22,Everton,1,True,2021-08-28,0,2,3,90,0,0,0,2,0,0,0,0,0,0,0,14,32.6,2.5,0.0,3.5,45,1553,47355,6268,4715,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,DC,Brighton,Everton,0,2,2021-08-28,16400,2021,478914,0.0,0,0,0,0.0,0.16451521217823029,0.16451521217823029
Alexis Mac Allister,MID,Brighton,74,22,Everton,1,True,2021-08-28,0,2,3,45,0,0,0,1,0,0,0,0,0,0,0,6,9.8,2.2,10.0,2.2,55,4294,51047,11911,7617,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.04848753660917282,49,AMC,Brighton,Everton,0,2,2021-08-28,16400,2021,478919,0.0,0,0,0,0.04848753660917282,0.059961751103401184,0.059961751103401184
Danny Welbeck,FWD,Brighton,447,22,Everton,1,True,2021-08-28,0,2,3,31,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.5,2.0,0.3,60,-1750,8497,260,2010,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,28,Sub,Brighton,Everton,0,2,2021-08-28,16400,2021,478923,0.0,0,0,0,0.0,0.028754726052284237,0.028754726052284237
Jakub Moder,MID,Brighton,75,22,Everton,2,True,2021-08-28,0,2,3,72,0,0,0,2,0,0,0,0,0,0,0,5,3.0,3.8,22.0,2.9,45,-4404,67082,6409,10813,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.0300824660807848,76,DML,Brighton,Everton,0,2,2021-08-28,16400,2021,478916,0.0,0,0,0,0.0300824660807848,0.10411212593317032,0.10411212593317032
Joël Veltman,DEF,Brighton,62,22,Everton,1,True,2021-08-28,0,2,3,45,0,0,0,1,0,0,0,0,0,0,0,8,9.8,22.6,3.0,3.5,44,-75572,145679,550,76122,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.04245903342962265,41,Sub,Brighton,Everton,0,2,2021-08-28,16400,2021,478922,0.14838577806949615,0,2,0,0.04245903342962265,0.2926155626773834,0.2501565217971802
Leandro Trossard,MID,Brighton,64,22,Everton,2,True,2021-08-28,0,2,3,90,0,0,0,2,0,0,0,0,0,0,0,8,13.2,15.2,48.0,7.6,64,-18774,62662,3602,22376,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,5,0.2413157969713211,90,AMC,Brighton,Everton,0,2,2021-08-28,16400,2021,478920,0.02142447233200073,0,1,0,0.2413157969713211,0.3607388138771057,0.15025828778743744
Lewis Dunk,DEF,Brighton,59,22,Everton,1,True,2021-08-28,0,2,3,90,0,0,0,2,0,0,0,0,0,0,0,17,14.8,1.5,0.0,1.6,50,-17882,425832,19294,37176,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,DC,Brighton,Everton,0,2,2021-08-28,16400,2021,478913,0.0,0,0,0,0.0,0.2346376180648804,0.2346376180648804
Neal Maupay,FWD,Brighton,63,22,Everton,2,True,2021-08-28,0,2,3,90,0,0,0,2,0,0,0,0,0,0,0,12,9.6,32.8,15.0,5.7,65,-54622,168678,23580,78202,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,2,0.11324497312307358,90,FW,Brighton,Everton,0,2,2021-08-28,16400,2021,478921,0.08915780484676361,0,3,0,0.11324497312307358,0.32793939113616943,0.12553660571575165
Pascal Groß,MID,Brighton,55,22,Everton,2,True,2021-08-28,0,2,3,90,0,0,0,2,0,0,0,0,0,0,0,19,29.2,50.7,9.0,8.9,60,17311,66445,26046,8735,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.13924460113048553,90,DMR,Brighton,Everton,0,2,2021-08-28,16400,2021,478915,0.1899019479751587,0,3,0,0.13924460113048553,0.14604440331459045,0.14604440331459045
