player_name,position,team,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,shots,xG,xA,key_passes,npg,npxG,xGChain,xGBuildup
Jonjo Shelvey,MID,Newcastle,0,0,4,0,4.8,0,0,3.6,5.0,2019-08-11,53,0,0,0,0,0,19128,1,0,26.0,1,0,0,0,50,True,0,1,Arsenal,2,Newcastle,3,3,1040,1030,990,980,1100,1090,2,0.051646213978528976,0.0,0,0,0.051646213978528976,0.03372442349791527,0.0
Martin Dubravka,GK,Newcastle,0,0,9,0,0.0,1,0,1.1,11.0,2019-08-11,90,0,0,0,0,1,56134,1,0,0.0,2,0,0,0,50,True,0,1,Arsenal,2,Newcastle,3,3,1040,1030,990,980,1100,1090,0,0.0,0.0,0,0,0.0,0.012174292467534542,0.012174292467534542
Matt Ritchie,DEF,Newcastle,0,0,14,0,32.5,1,0,4.4,11.6,2019-08-11,90,0,0,0,0,0,32906,1,0,0.0,2,0,0,0,55,True,0,1,Arsenal,2,Newcastle,3,3,1040,1030,990,980,1100,1090,0,0.0,0.10505709797143936,3,0,0.0,0.045898716896772385,0.0
André Filipe Tavares Gomes,MID,Everton,0,0,6,0,11.3,0,0,1.9,7.6,2019-08-10,45,0,0,0,0,0,68985,0,0,0.0,1,0,0,0,55,False,0,1,Everton,3,Crystal Palace,2,3,1210,1100,1180,1170,1240,1100,0,0.0,0.03569374233484268,1,0,0.0,0.0747268870472908,0.03903314098715782
Miguel Almirón,MID,Newcastle,0,0,2,0,13.5,1,0,3.6,1.4,2019-08-11,90,0,0,0,0,0,46041,1,0,21.0,1,0,0,0,60,True,1,1,Arsenal,2,Newcastle,3,3,1040,1030,990,980,1100,1090,2,0.07273007929325104,0.024559978395700455,1,0,0.07273007929325104,0.03813167288899422,0.0
Sean Longstaff,MID,Newcastle,0,0,8,0,1.8,1,0,0.7,5.6,2019-08-11,66,0,0,0,0,0,40685,1,0,0.0,2,0,0,0,50,True,0,1,Arsenal,2,Newcastle,3,3,1040,1030,990,980,1100,1090,0,0.0,0.0,0,0,0.0,0.0,0.0
Joelinton Cássio Apolinário de Lira,FWD,Newcastle,0,0,15,0,2.5,1,0,3.3,6.0,2019-08-11,90,0,0,0,0,0,136531,1,0,24.0,2,0,0,0,60,True,0,1,Arsenal,2,Newcastle,3,3,1040,1030,990,980,1100,1090,3,0.21819819509983066,0.0,0,0,0.21819819509983066,0.2561744451522827,0.03797624260187149
Oliver Norwood,MID,Sheffield Utd,0,0,16,0,21.3,1,0,3.8,16.6,2019-08-10,90,0,0,0,0,0,21532,1,1,0.0,2,0,0,0,50,False,0,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,0,0.0,0.08013443648815155,1,0,0.0,0.10455305874347688,0.10455305874347688
Oliver McBurnie,FWD,Sheffield Utd,0,0,3,0,1.4,0,0,0.9,3.4,2019-08-10,27,0,0,0,0,0,9589,1,1,4.0,1,0,0,0,60,False,0,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,1,0.5383743047714233,0.0,0,0,0.5383743047714233,0.0,0.0
Luke Freeman,MID,Sheffield Utd,0,0,3,0,6.0,0,0,1.0,4.0,2019-08-10,12,0,0,0,0,0,8298,1,1,0.0,1,0,0,0,55,False,0,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,0,0.0,0.0,0,0,0.0,0.0,0.0
John Lundstram,DEF,Sheffield Utd,0,1,20,0,27.2,1,0,3.5,4.8,2019-08-10,77,0,0,0,0,0,410353,1,1,3.0,3,0,0,0,40,False,0,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,1,0.018958929926156998,0.5640422105789185,2,0,0.018958929926156998,0.6685953140258789,0.10455305874347688
