player_name,position_x,team,assists_x,bonus,bps,clean_sheets,creativity,FPL_ID,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Manuel Lanzini,MID,West Ham,1,0,23,0,82.1,391,29,1,0,10.6,18.2,2019-08-24,87,Watford,0,0,0,0,3,0,110260,3,1,6.0,5,26001,41860,15859,65,False,0,3,West Ham,3,Watford,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.13887271285057068,90,AMC,Watford,West Ham,1,3,2019-08-24,11667,2019,344086,0.360495924949646,0,6,0,0.13887271285057068,0.4660474061965942,0.3089619278907776
Mark Noble,MID,West Ham,0,2,33,0,12.5,396,29,1,1,7.8,44.6,2019-08-24,90,Watford,0,0,0,0,3,0,18538,3,1,21.0,9,-3280,354,3634,50,False,0,3,West Ham,3,Watford,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,1,1,0.7611688375473022,90,DMC,Watford,West Ham,1,3,2019-08-24,11667,2019,344083,0.01651940867304802,0,1,0,0.0,0.5371994376182556,0.5371994376182556
Michail Antonio,MID,West Ham,1,0,8,0,14.6,389,29,0,0,8.0,11.2,2019-08-24,35,Watford,0,0,0,0,3,0,85122,3,1,54.0,4,-10133,928,11061,70,False,0,3,West Ham,3,Watford,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,2,0.4544337391853333,31,Sub,Watford,West Ham,1,3,2019-08-24,11667,2019,344091,0.035016436129808426,0,1,0,0.4544337391853333,0.3827022016048432,0.018212784081697464
Pablo Fornals,MID,West Ham,0,0,4,0,1.1,399,29,0,0,2.7,8.4,2019-08-24,12,Watford,0,0,0,0,3,0,43487,3,1,17.0,1,-10974,592,11566,64,False,0,3,West Ham,3,Watford,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.035016436129808426,8,Sub,Watford,West Ham,1,3,2019-08-24,11667,2019,344090,0.0,0,0,0,0.035016436129808426,0.035016436129808426,0.035016436129808426
Ryan Fredericks,DEF,West Ham,0,0,8,0,2.9,380,29,1,0,2.8,21.0,2019-08-24,90,Watford,0,0,0,0,3,0,21640,3,1,4.0,2,-249,2427,2676,45,False,0,3,West Ham,3,Watford,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DR,Watford,West Ham,1,3,2019-08-24,11667,2019,344079,0.0,0,0,0,0.0,0.4763558208942413,0.4763558208942413
Sébastien Haller,FWD,West Ham,0,3,54,0,2.3,457,29,1,2,18.0,68.0,2019-08-24,90,Watford,0,0,0,0,3,0,166459,3,1,110.0,13,-62931,5572,68503,74,False,0,3,West Ham,3,Watford,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,2,4,1.8219897747039795,90,FW,Watford,West Ham,1,3,2019-08-24,11667,2019,344088,0.0,0,0,2,1.8219897747039795,0.9484971165657043,0.14688284695148468
Andriy Yarmolenko,MID,West Ham,0,0,22,1,24.3,392,40,0,1,9.3,33.4,2019-08-31,70,Norwich,0,0,0,0,4,0,9672,0,2,35.0,8,-302,1058,1360,59,True,0,4,Norwich,2,West Ham,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,1,3,0.19325703382492065,74,MR,West Ham,Norwich,2,0,2019-08-31,11674,2019,347404,0.17285513877868652,0,2,1,0.19325703382492065,0.2581454217433929,0.0
Angelo Ogbonna,DEF,West Ham,0,0,19,1,0.4,377,40,0,0,1.2,9.8,2019-08-31,90,Norwich,0,0,0,0,4,0,20596,0,2,2.0,6,-505,919,1424,45,True,0,4,Norwich,2,West Ham,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DC,West Ham,Norwich,2,0,2019-08-31,11674,2019,347401,0.0,0,0,0,0.0,0.6344735622406006,0.6344735622406006
Arthur Masuaku,DEF,West Ham,1,3,49,1,27.0,378,40,0,0,7.9,50.4,2019-08-31,90,Norwich,0,0,0,0,4,0,23450,0,2,2.0,12,88,1930,1842,45,True,0,4,Norwich,2,West Ham,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DL,West Ham,Norwich,2,0,2019-08-31,11674,2019,347402,0.9547350406646729,1,2,0,0.0,0.9725765585899352,0.9725765585899352
Carlos Sánchez,MID,West Ham,0,0,3,0,1.3,397,40,0,0,0.2,0.8,2019-08-31,5,Norwich,0,0,0,0,4,0,26975,0,2,0.0,1,-1244,1612,2856,45,True,0,4,Norwich,2,West Ham,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,2,Sub,West Ham,Norwich,2,0,2019-08-31,11674,2019,347409,0.0,0,0,0,0.0,0.08002863079309464,0.08002863079309464
