player_name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home
Robert Snodgrass,MID,West Ham,0,0,13,0,29.1,393,180,2,0,4.7,8.4,2020-01-29,90,Liverpool,0,0,0,0,24,0,111699,2,0,9.0,2,58614,62233,3619,52,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Ryan Fredericks,DEF,West Ham,0,0,0,0,0.0,380,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,29758,2,0,0.0,0,-3933,27,3960,44,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Sébastien Haller,FWD,West Ham,0,0,8,0,13.9,457,180,2,0,3.1,14.6,2020-01-29,90,Liverpool,0,0,0,0,24,0,265068,2,0,2.0,2,53847,61865,8018,70,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Winston Reid,DEF,West Ham,0,0,0,0,0.0,383,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,373895,2,0,0.0,0,7416,19113,11697,39,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Aymeric Laporte,DEF,Man City,0,0,23,1,2.1,202,275,0,0,1.1,9.2,2020-06-17,69,Arsenal,0,0,0,0,39,0,261054,0,3,0.0,6,104875,139395,34520,63,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Benjamin Mendy,DEF,Man City,0,1,28,1,9.9,204,275,0,0,2.0,9.6,2020-06-17,90,Arsenal,0,0,0,0,39,0,99711,0,3,0.0,7,16872,42132,25260,55,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Bernardo Mota Veiga de Carvalho e Silva,MID,Man City,0,0,3,0,3.8,218,275,0,0,1.0,2.4,2020-06-17,25,Arsenal,0,0,0,0,39,0,673462,0,3,4.0,1,22293,70300,48007,77,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Claudio Bravo,GK,Man City,0,0,0,0,0.0,213,275,0,0,0.0,0.0,2020-06-17,0,Arsenal,0,0,0,0,39,0,22977,0,3,0.0,0,-67,437,504,47,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Danilo Luiz da Silva,DEF,Man City,0,0,0,0,0.0,209,275,0,0,0.0,0.0,2020-06-17,0,Arsenal,0,0,0,0,39,0,3192,0,3,0.0,0,-16,30,46,50,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
David Silva,MID,Man City,0,0,12,1,14.5,219,275,0,0,4.1,7.0,2020-06-17,64,Arsenal,0,0,0,0,39,0,332149,0,3,19.0,3,19047,43470,24423,73,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Ederson Santana de Moraes,GK,Man City,0,0,26,1,3.0,212,275,0,0,1.1,7.8,2020-06-17,90,Arsenal,0,0,0,0,39,0,968409,0,3,0.0,6,84437,141535,57098,60,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Eric Garcia,DEF,Man City,0,0,24,1,1.1,544,275,0,0,0.9,8.0,2020-06-17,90,Arsenal,0,0,0,0,39,0,3910,0,3,0.0,6,111,508,397,45,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Fernando Luiz Rosa,MID,Man City,0,0,3,0,0.8,221,275,0,0,0.4,3.4,2020-06-17,20,Arsenal,0,0,0,0,39,0,53605,0,3,0.0,1,2656,5770,3114,51,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Gabriel Fernando de Jesus,FWD,Man City,0,0,6,1,14.5,211,275,0,0,3.8,8.8,2020-06-17,79,Arsenal,0,0,0,0,39,0,238361,0,3,15.0,2,-1642,44384,46026,96,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Ilkay Gündogan,MID,Man City,0,0,17,1,31.4,222,275,0,0,7.9,26.8,2020-06-17,90,Arsenal,0,0,0,0,39,0,101098,0,3,21.0,3,2351,12913,10562,52,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
John Stones,DEF,Man City,0,0,0,0,0.0,207,275,0,0,0.0,0.0,2020-06-17,0,Arsenal,0,0,0,0,39,0,77059,0,3,0.0,0,2762,5909,3147,53,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
José Ángel Esmorís Tasende,DEF,Man City,0,0,0,0,0.0,440,275,0,0,0.0,0.0,2020-06-17,0,Arsenal,0,0,0,0,39,0,11486,0,3,0.0,0,-217,25,242,46,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
João Pedro Cavaco Cancelo,DEF,Man City,0,0,0,0,0.0,518,275,0,0,0.0,0.0,2020-06-17,0,Arsenal,0,0,0,0,39,0,58981,0,3,0.0,0,781,2812,2031,51,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Kevin De Bruyne,MID,Man City,1,3,43,1,34.9,215,275,0,1,15.5,46.8,2020-06-17,69,Arsenal,0,0,0,0,39,0,3825649,0,3,73.0,14,370773,430496,59723,106,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Kyle Walker,DEF,Man City,0,0,25,1,29.8,203,275,0,0,6.8,17.6,2020-06-17,90,Arsenal,0,0,0,0,39,0,934955,0,3,21.0,6,95476,158985,63509,56,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Leroy Sané,MID,Man City,0,0,0,0,0.0,216,275,0,0,0.0,0.0,2020-06-17,0,Arsenal,0,0,0,0,39,0,26713,0,3,0.0,0,8148,13809,5661,93,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Nicolás Otamendi,DEF,Man City,0,0,0,0,0.0,208,275,0,0,0.0,0.0,2020-06-17,0,Arsenal,0,0,0,0,39,0,210694,0,3,0.0,0,35112,66925,31813,49,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Oleksandr Zinchenko,DEF,Man City,0,0,0,0,0.0,206,275,0,0,0.0,0.0,2020-06-17,0,Arsenal,0,0,0,0,39,0,178240,0,3,0.0,0,2666,7471,4805,52,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Phil Foden,MID,Man City,0,0,23,0,16.3,220,275,0,1,7.6,40.8,2020-06-17,25,Arsenal,0,0,0,0,39,0,27431,0,3,19.0,6,511,5650,5139,51,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Raheem Sterling,MID,Man City,0,2,40,1,62.1,214,275,0,1,17.1,44.4,2020-06-17,90,Arsenal,0,0,0,0,39,0,1311922,0,3,64.0,10,123732,193316,69584,117,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Riyad Mahrez,MID,Man City,1,0,18,1,9.1,217,275,0,0,3.8,5.8,2020-06-17,64,Arsenal,0,0,0,0,39,0,729679,0,3,23.0,6,-2466,181374,183840,85,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Rodrigo Hernandez,MID,Man City,0,0,-2,0,2.7,443,275,0,0,0.2,0.0,2020-06-17,20,Arsenal,0,0,0,0,39,0,124961,0,3,0.0,0,-9489,19183,28672,55,True,1,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Scott Carson,GK,Man City,0,0,0,0,0.0,562,275,0,0,0.0,0.0,2020-06-17,0,Arsenal,0,0,0,0,39,0,5451,0,3,0.0,0,-407,358,765,40,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Sergio Agüero,FWD,Man City,1,0,8,0,0.3,210,275,0,0,3.1,1.6,2020-06-17,10,Arsenal,0,0,0,0,39,0,1850460,0,3,29.0,4,489529,581048,91519,118,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330
Ben Osborn,MID,Sheffield Utd,0,0,0,0,0.0,472,296,0,0,0.0,0.0,2020-06-21,0,Newcastle,0,0,0,0,39,0,2770,0,3,0.0,0,108,267,159,47,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Billy Sharp,FWD,Sheffield Utd,0,0,-3,0,10.9,298,296,2,0,3.6,0.0,2020-06-21,73,Newcastle,0,0,0,0,39,0,51358,0,3,28.0,2,11680,20317,8637,56,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Callum Robinson,MID,Sheffield Utd,0,0,0,0,0.0,453,296,0,0,0.0,0.0,2020-06-21,0,Newcastle,0,0,0,0,39,0,15675,0,3,0.0,0,-322,24,346,49,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Chris Basham,DEF,Sheffield Utd,0,0,16,0,17.0,423,296,3,0,4.4,25.2,2020-06-21,90,Newcastle,0,0,0,0,39,0,144901,0,3,2.0,1,33735,66165,32430,46,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
David McGoldrick,FWD,Sheffield Utd,0,0,0,0,0.0,303,296,0,0,0.0,0.0,2020-06-21,0,Newcastle,0,0,0,0,39,0,14520,0,3,0.0,0,1962,3389,1427,54,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Dean Henderson,GK,Sheffield Utd,0,0,19,0,0.0,471,296,3,0,3.5,35.0,2020-06-21,90,Newcastle,0,0,0,0,39,5,1526482,0,3,0.0,2,276263,388101,111838,53,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Enda Stevens,DEF,Sheffield Utd,0,0,11,0,4.0,291,296,3,0,1.4,5.6,2020-06-21,90,Newcastle,0,0,0,0,39,0,351485,0,3,4.0,1,122997,182034,59037,52,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
George Baldock,DEF,Sheffield Utd,0,0,20,0,47.2,294,296,3,0,6.4,16.8,2020-06-21,90,Newcastle,0,0,0,0,39,0,996506,0,3,0.0,1,135127,265007,129880,51,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Jack O'Connell,DEF,Sheffield Utd,0,0,0,0,0.0,293,296,0,0,0.0,0.0,2020-06-21,0,Newcastle,0,0,0,0,39,0,235289,0,3,0.0,0,-29115,98546,127661,47,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Jack Robinson,DEF,Sheffield Utd,0,0,11,0,1.4,611,296,3,0,1.8,14.6,2020-06-21,90,Newcastle,0,0,0,0,39,0,7564,0,3,2.0,1,4386,6058,1672,40,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Jack Rodwell,MID,Sheffield Utd,0,0,0,0,0.0,591,296,0,0,0.0,0.0,2020-06-21,0,Newcastle,0,0,0,0,39,0,1126,0,3,0.0,0,296,542,246,45,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Jake Eastwood,GK,Sheffield Utd,0,0,0,0,0.0,299,296,0,0,0.0,0.0,2020-06-21,0,Newcastle,0,0,0,0,39,0,8619,0,3,0.0,0,-42,285,327,43,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
John Egan,DEF,Sheffield Utd,0,0,-6,0,0.2,295,296,3,0,3.9,5.2,2020-06-21,49,Newcastle,0,0,0,1,39,0,378509,0,3,34.0,-3,183984,249589,65605,46,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
John Fleck,MID,Sheffield Utd,0,0,9,0,30.6,301,296,2,0,4.3,10.8,2020-06-21,72,Newcastle,0,0,0,0,39,0,464185,0,3,2.0,2,49698,256198,206500,50,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
John Lundstram,DEF,Sheffield Utd,0,0,3,0,2.6,297,296,2,0,0.4,1.4,2020-06-21,24,Newcastle,0,0,0,0,39,0,3239773,0,3,0.0,0,286411,409710,123299,49,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Kieron Freeman,DEF,Sheffield Utd,0,0,2,0,0.3,292,296,0,0,0.0,0.0,2020-06-21,5,Newcastle,0,0,0,0,39,0,7668,0,3,0.0,1,384,833,449,42,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Leon Clarke,FWD,Sheffield Utd,0,0,0,0,0.0,547,296,0,0,0.0,0.0,2020-06-21,0,Newcastle,0,0,0,0,39,0,7061,0,3,0.0,0,313,776,463,44,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Luke Freeman,MID,Sheffield Utd,0,0,3,0,1.5,441,296,1,0,1.0,0.6,2020-06-21,17,Newcastle,0,0,0,0,39,0,5763,0,3,8.0,1,655,1060,405,50,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Lys Mousset,FWD,Sheffield Utd,0,0,0,0,0.0,70,296,0,0,0.0,0.0,2020-06-21,0,Newcastle,0,0,0,0,39,0,254549,0,3,0.0,0,82746,129446,46700,45,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
Mark Duffy,MID,Sheffield Utd,0,0,0,0,0.0,300,296,0,0,0.0,0.0,2020-06-21,0,Newcastle,0,0,0,0,39,0,1327,0,3,0.0,0,-5,42,47,52,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180
