player_name,position_x,team,assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
John Egan,DEF,Sheffield Utd,0,0,-6,0,0.2,295,296,3,0,3.9,5.2,2020-06-21,49,Newcastle,0,0,0,1,39,0,378509,0,3,34.0,-3,183984,249589,65605,46,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180,0,1,0.017728522419929504,51,DC,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401618,0.0,0,0,0,0.017728522419929504,0.07149442285299301,0.07149442285299301
John Lundstram,DEF,Sheffield Utd,0,0,3,0,2.6,297,296,2,0,0.4,1.4,2020-06-21,24,Newcastle,0,0,0,0,39,0,3239773,0,3,0.0,0,286411,409710,123299,49,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180,0,0,0.0,23,Sub,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401629,0.0,0,0,0,0.0,0.08342204242944717,0.08342204242944717
Luke Freeman,MID,Sheffield Utd,0,0,3,0,1.5,441,296,1,0,1.0,0.6,2020-06-21,17,Newcastle,0,0,0,0,39,0,5763,0,3,8.0,1,655,1060,405,50,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180,0,1,0.02352186664938927,16,Sub,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401631,0.0,0,0,0,0.02352186664938927,0.02352186664938927,0.02352186664938927
Oliver McBurnie,FWD,Sheffield Utd,0,0,8,0,6.2,501,296,3,0,3.8,10.8,2020-06-21,84,Newcastle,0,0,0,0,39,0,50630,0,3,21.0,2,30106,41249,11143,57,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180,0,1,0.023611685261130333,86,FW,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401627,0.0,0,0,0,0.023611685261130333,0.10703372955322266,0.08342204242944717
Oliver Norwood,MID,Sheffield Utd,0,0,14,0,3.8,302,296,3,0,1.6,12.4,2020-06-21,90,Newcastle,0,0,0,0,39,0,74335,0,3,0.0,2,37514,51837,14323,49,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180,0,0,0.0,90,MC,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401625,0.0,0,0,0,0.0,0.1549164652824402,0.1549164652824402
Sander Berge,MID,Sheffield Utd,0,0,9,0,4.3,621,296,1,0,0.9,2.4,2020-06-21,65,Newcastle,0,0,0,0,39,0,7591,0,3,2.0,2,865,3557,2692,48,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180,0,0,0.0,67,MC,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401623,0.0,0,0,0,0.0,0.07149442285299301,0.07149442285299301
Alex Oxlade-Chamberlain,MID,Liverpool,0,0,7,0,2.3,193,237,1,0,0.9,6.2,2020-01-23,69,Wolves,0,0,0,0,24,0,35219,2,1,0.0,2,5945,7068,1123,62,False,0,24,Liverpool,3,Wolves,4,10,Liverpool,LIV,5,1320,1310,1330,1310,1350,1340,0,0,0.0,72,MC,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386545,0.0,0,0,0,0.0,0.0,0.0
Andrew Robertson,DEF,Liverpool,0,0,11,0,20.5,181,237,1,0,3.1,10.0,2020-01-23,90,Wolves,0,0,0,0,24,0,1532185,2,1,0.0,1,62628,103141,40513,70,False,1,24,Liverpool,3,Wolves,4,10,Liverpool,LIV,5,1320,1310,1330,1310,1350,1340,0,0,0.0,90,DL,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386542,0.10595817118883133,0,1,0,0.0,0.10595817118883133,0.0
Divock Origi,FWD,Liverpool,0,0,2,0,1.1,188,237,0,0,0.1,0.0,2020-01-23,5,Wolves,0,0,0,0,24,0,188928,2,1,0.0,1,728,5072,4344,52,False,0,24,Liverpool,3,Wolves,4,10,Liverpool,LIV,5,1320,1310,1330,1310,1350,1340,0,0,0.0,3,Sub,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386549,0.0,0,0,0,0.0,0.0,0.0
Georginio Wijnaldum,MID,Liverpool,0,0,10,0,4.8,199,237,1,0,0.9,4.4,2020-01-23,90,Wolves,0,0,0,0,24,0,181930,2,1,0.0,2,18044,25317,7273,54,False,0,24,Liverpool,3,Wolves,4,10,Liverpool,LIV,5,1320,1310,1330,1310,1350,1340,0,0,0.0,90,MC,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386543,0.0,0,0,0,0.0,0.3371844291687012,0.3371844291687012
Jordan Henderson,MID,Liverpool,1,3,44,0,25.2,198,237,1,1,10.5,60.4,2020-01-23,90,Wolves,0,0,0,0,24,0,97240,2,1,19.0,13,15549,20051,4502,54,False,0,24,Liverpool,3,Wolves,4,10,Liverpool,LIV,5,1320,1310,1330,1310,1350,1340,1,1,0.07365551590919495,90,MC,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386544,0.21744178235530853,1,2,1,0.07365551590919495,0.3233999609947205,0.10595817118883133
