name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW
Luka Milivojevic,MID,Crystal Palace,152,54,4,3,True,2021-09-27T19:00:00Z,1,1,6,71,0,0,1,0,0,0,0,0,0,0,0,10,4.0,7.7,9.0,2.1,54,-108,3735,215,323,6
Luke Ayling,DEF,Leeds,185,56,19,0,True,2021-09-25T14:00:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-156880,828964,7053,163933,6
Luke Cundle,MID,Wolves,547,59,16,0,False,2021-09-26T13:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,55,7828,1274,1219,6
Luke Mbete,DEF,Man City,603,53,6,0,False,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,510,1159,618,108,6
Luke Shaw,DEF,Man Utd,275,58,2,0,True,2021-09-25T11:30:00Z,0,1,6,33,0,0,0,0,0,0,0,1,0,0,0,1,4.8,26.3,0.0,3.1,55,-112468,3359554,80153,192621,6
Luke Thomas,DEF,Leicester,219,57,5,0,True,2021-09-25T14:00:00Z,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-10865,73918,1578,12443,6
Lyanco Evangelista Silveira Neves Vojnovic,DEF,Southampton,567,59,20,0,True,2021-09-26T13:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-29,1015,94,123,6
Mads Bech Sørensen,DEF,Brentford,90,52,11,0,True,2021-09-25T16:30:00Z,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-551,4392,25,576,6
Mads Bidstrup,MID,Brentford,97,52,11,0,True,2021-09-25T16:30:00Z,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-368,6658,373,741,6
Mads Roerslev Rasmussen,DEF,Brentford,89,52,11,0,True,2021-09-25T16:30:00Z,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-144,4351,222,366,6
