player_name,kickoff_time,GW,season,LR,CBoost,SVR,KNN,MLP,Meta,position,team,value,total_points
Pedro Lomba Neto,2020-11-29,10,2020,3.0,3.0,4.0,3.0,4.0,3.0,MID,Wolves,55,13
Phil Foden,2020-11-28,10,2020,2.0,2.0,3.0,2.0,2.0,3.0,MID,Man City,65,4
Pierre-Emerick Aubameyang,2020-11-29,10,2020,5.0,5.0,4.0,5.0,5.0,3.0,MID,Arsenal,116,2
Pierre-Emile Højbjerg,2020-11-29,10,2020,2.0,3.0,3.0,2.0,3.0,3.0,MID,Spurs,49,3
Raphael Dias Belloli,2020-11-28,10,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Leeds,54,9
Raúl Jiménez,2020-11-29,10,2020,4.0,4.0,4.0,5.0,5.0,4.0,FWD,Wolves,84,1
Reece James,2020-11-29,10,2020,3.0,3.0,3.0,4.0,4.0,3.0,DEF,Chelsea,51,6
Reiss Nelson,2020-11-29,10,2020,1.0,2.0,2.0,1.0,2.0,2.0,MID,Arsenal,52,1
Rhian Brewster,2020-11-28,10,2020,2.0,2.0,3.0,2.0,2.0,2.0,FWD,Sheffield Utd,45,1
Richarlison de Andrade,2020-11-28,10,2020,5.0,5.0,4.0,5.0,5.0,4.0,FWD,Everton,78,2
Riyad Mahrez,2020-11-28,10,2020,5.0,5.0,4.0,5.0,5.0,4.0,MID,Man City,82,21
Rob Holding,2020-11-29,10,2020,1.0,2.0,2.0,3.0,1.0,2.0,DEF,Arsenal,44,0
Roberto Firmino,2020-11-28,10,2020,5.0,5.0,3.0,5.0,4.0,3.0,FWD,Liverpool,92,2
Robin Koch,2020-11-28,10,2020,2.0,3.0,2.0,2.0,2.0,3.0,DEF,Leeds,45,6
Rodrigo Hernandez,2020-11-28,10,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Man City,54,1
Rodrigo Moreno,2020-11-28,10,2020,1.0,2.0,2.0,2.0,1.0,2.0,FWD,Leeds,57,1
Romaine Sawyers,2020-11-28,10,2020,2.0,3.0,2.0,2.0,3.0,2.0,MID,West Brom,48,3
Ruben Loftus-Cheek,2020-11-30,10,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Fulham,59,3
Rui Pedro dos Santos Patrício,2020-11-29,10,2020,3.0,3.0,3.0,4.0,4.0,3.0,GK,Wolves,55,2
Ryan Bertrand,2020-11-29,10,2020,3.0,3.0,3.0,2.0,3.0,3.0,DEF,Southampton,50,1
Rúben Diogo da Silva Neves,2020-11-29,10,2020,1.0,2.0,2.0,2.0,1.0,2.0,MID,Wolves,53,1
Rúben Santos Gato Alves Dias,2020-11-28,10,2020,4.0,3.0,3.0,3.0,4.0,3.0,DEF,Man City,55,6
Sadio Mané,2020-11-28,10,2020,4.0,3.0,3.0,5.0,4.0,3.0,MID,Liverpool,121,1
Sam Johnstone,2020-11-28,10,2020,4.0,3.0,4.0,4.0,4.0,3.0,GK,West Brom,45,11
Sander Berge,2020-11-28,10,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Sheffield Utd,50,1
Saïd Benrahma,2020-11-30,10,2020,2.0,2.0,3.0,2.0,2.0,2.0,MID,West Ham,60,4
Scott Dann,2020-11-27,10,2020,3.0,3.0,3.0,3.0,3.0,3.0,DEF,Crystal Palace,44,0
Sean Longstaff,2020-11-27,10,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Newcastle,48,2
Serge Aurier,2020-11-29,10,2020,3.0,3.0,3.0,3.0,3.0,3.0,DEF,Spurs,52,6
Sergio Reguilón,2020-11-29,10,2020,3.0,3.0,3.0,4.0,3.0,3.0,DEF,Spurs,56,5
Shane Long,2020-11-29,10,2020,1.0,2.0,2.0,1.0,1.0,2.0,FWD,Southampton,52,1
Solomon March,2020-11-28,10,2020,2.0,3.0,4.0,3.0,4.0,3.0,MID,Brighton,50,2
Steven Bergwijn,2020-11-29,10,2020,3.0,3.0,3.0,3.0,4.0,3.0,MID,Spurs,70,2
Stuart Armstrong,2020-11-29,10,2020,3.0,3.0,3.0,4.0,3.0,3.0,MID,Southampton,55,2
Stuart Dallas,2020-11-28,10,2020,3.0,3.0,2.0,3.0,3.0,3.0,DEF,Leeds,45,8
Sébastien Haller,2020-11-30,10,2020,2.0,2.0,2.0,2.0,2.0,3.0,FWD,West Ham,61,1
Takumi Minamino,2020-11-28,10,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Liverpool,60,2
Tammy Abraham,2020-11-29,10,2020,4.0,4.0,4.0,4.0,4.0,4.0,FWD,Chelsea,72,2
Tanguy Ndombele,2020-11-29,10,2020,3.0,3.0,3.0,2.0,3.0,3.0,MID,Spurs,59,3
Theo Walcott,2020-11-29,10,2020,4.0,3.0,3.0,3.0,3.0,4.0,MID,Southampton,58,2
Thiago Thiago,2020-11-29,10,2020,3.0,3.0,3.0,3.0,3.0,3.0,DEF,Chelsea,55,6
Timo Werner,2020-11-29,10,2020,5.0,5.0,4.0,6.0,6.0,4.0,FWD,Chelsea,95,2
Tom Davies,2020-11-28,10,2020,3.0,3.0,3.0,3.0,4.0,3.0,MID,Everton,53,3
Tomas Soucek,2020-11-30,10,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,West Ham,49,2
Tosin Adarabioyo,2020-11-30,10,2020,2.0,3.0,2.0,2.0,3.0,3.0,DEF,Fulham,45,1
Tyrone Mings,2020-11-30,10,2020,3.0,4.0,3.0,3.0,3.0,3.0,DEF,Aston Villa,53,1
Vicente Guaita,2020-11-27,10,2020,4.0,4.0,4.0,4.0,4.0,3.0,GK,Crystal Palace,50,2
Victor Lindelöf,2020-11-29,10,2020,3.0,3.0,3.0,3.0,3.0,3.0,DEF,Man Utd,49,1
Vladimir Coufal,2020-11-30,10,2020,4.0,3.0,4.0,3.0,3.0,3.0,DEF,West Ham,46,2
Wesley Fofana,2020-11-30,10,2020,4.0,3.0,4.0,3.0,3.0,3.0,DEF,Leicester,50,1
Willian Borges Da Silva,2020-11-29,10,2020,4.0,4.0,4.0,3.0,4.0,3.0,MID,Arsenal,77,5
Willy Boly,2020-11-29,10,2020,3.0,3.0,3.0,3.0,3.0,3.0,DEF,Wolves,55,1
Youri Tielemans,2020-11-30,10,2020,4.0,4.0,4.0,3.0,4.0,3.0,MID,Leicester,64,2
Yves Bissouma,2020-11-28,10,2020,2.0,3.0,3.0,3.0,3.0,3.0,MID,Brighton,45,2
Aaron Connolly,2020-12-07,11,2020,4.0,3.0,3.0,3.0,4.0,3.0,FWD,Brighton,53,2
Aaron Cresswell,2020-12-05,11,2020,3.0,4.0,4.0,3.0,4.0,4.0,DEF,West Ham,52,1
Aaron Ramsdale,2020-12-06,11,2020,4.0,3.0,4.0,3.0,4.0,3.0,GK,Sheffield Utd,48,1
Aaron Wan-Bissaka,2020-12-05,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,DEF,Man Utd,54,2
Abdoulaye Doucouré,2020-12-05,11,2020,2.0,3.0,3.0,3.0,3.0,3.0,MID,Everton,53,2
Aboubakar Kamara,2020-12-05,11,2020,-0.0,1.0,1.0,1.0,0.0,1.0,MID,Fulham,48,1
Adam Webster,2020-12-07,11,2020,3.0,2.0,3.0,3.0,3.0,3.0,DEF,Brighton,44,1
Adama Traoré,2020-12-06,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Wolves,62,2
Ademola Lookman,2020-12-05,11,2020,2.0,3.0,3.0,3.0,3.0,3.0,MID,Fulham,50,2
Alex Iwobi,2020-12-05,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Everton,59,2
Alex McCarthy,2020-12-07,11,2020,4.0,4.0,3.0,4.0,4.0,3.0,GK,Southampton,46,2
Alex Nicolao Telles,2020-12-05,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,DEF,Man Utd,55,5
Alexandre Lacazette,2020-12-06,11,2020,4.0,4.0,4.0,4.0,4.0,3.0,FWD,Arsenal,83,1
Alireza Jahanbakhsh,2020-12-07,11,2020,2.0,1.0,2.0,1.0,2.0,2.0,MID,Brighton,54,1
Allan Marques Loureiro,2020-12-05,11,2020,2.0,3.0,2.0,2.0,2.0,3.0,MID,Everton,53,2
Alphonse Areola,2020-12-05,11,2020,3.0,2.0,3.0,3.0,3.0,3.0,GK,Fulham,45,2
Andrew Robertson,2020-12-06,11,2020,4.0,5.0,4.0,5.0,5.0,4.0,DEF,Liverpool,72,6
André Filipe Tavares Gomes,2020-12-05,11,2020,1.0,1.0,2.0,1.0,1.0,2.0,MID,Everton,54,3
André-Frank Zambo Anguissa,2020-12-05,11,2020,2.0,2.0,2.0,2.0,2.0,2.0,MID,Fulham,45,2
Angelo Ogbonna,2020-12-05,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,DEF,West Ham,49,1
Anthony Martial,2020-12-05,11,2020,5.0,4.0,4.0,4.0,5.0,3.0,FWD,Man Utd,87,2
Antonee Robinson,2020-12-05,11,2020,2.0,1.0,2.0,2.0,2.0,2.0,DEF,Fulham,44,1
Arthur Masuaku,2020-12-05,11,2020,3.0,4.0,3.0,3.0,4.0,3.0,DEF,West Ham,45,1
Ashley Barnes,2020-12-05,11,2020,2.0,2.0,3.0,2.0,2.0,2.0,FWD,Burnley,60,1
Ashley Westwood,2020-12-05,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Burnley,53,6
Ayoze Pérez,2020-12-06,11,2020,3.0,4.0,3.0,3.0,4.0,3.0,MID,Leicester,60,9
Ben Davies,2020-12-06,11,2020,1.0,1.0,2.0,1.0,2.0,2.0,DEF,Spurs,47,1
Ben Godfrey,2020-12-05,11,2020,2.0,3.0,2.0,2.0,3.0,3.0,DEF,Everton,50,2
Ben Johnson,2020-12-05,11,2020,1.0,1.0,2.0,1.0,1.0,2.0,DEF,West Ham,39,1
Ben Mee,2020-12-05,11,2020,3.0,4.0,4.0,3.0,3.0,4.0,DEF,Burnley,49,2
Ben Osborn,2020-12-06,11,2020,1.0,1.0,2.0,1.0,2.0,2.0,MID,Sheffield Utd,48,1
Ben White,2020-12-07,11,2020,3.0,2.0,3.0,3.0,3.0,3.0,DEF,Brighton,44,1
Benjamin Chilwell,2020-12-05,11,2020,5.0,5.0,5.0,5.0,6.0,5.0,DEF,Chelsea,62,2
Benjamin Mendy,2020-12-05,11,2020,5.0,4.0,4.0,4.0,5.0,4.0,DEF,Man City,59,6
Bernd Leno,2020-12-06,11,2020,3.0,3.0,3.0,4.0,4.0,3.0,GK,Arsenal,50,1
Bobby Decordova-Reid,2020-12-05,11,2020,2.0,2.0,2.0,3.0,3.0,3.0,FWD,Fulham,53,2
Branislav Ivanovic,2020-12-06,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,DEF,West Brom,45,0
Bruno Miguel Borges Fernandes,2020-12-05,11,2020,4.0,3.0,4.0,5.0,5.0,3.0,MID,Man Utd,109,6
Bukayo Saka,2020-12-06,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Arsenal,52,2
Callum Robinson,2020-12-06,11,2020,1.0,1.0,2.0,1.0,2.0,2.0,FWD,West Brom,55,1
Caoimhin Kelleher,2020-12-06,11,2020,3.0,3.0,4.0,2.0,4.0,3.0,GK,Liverpool,45,7
Cenk Tosun,2020-12-05,11,2020,1.0,1.0,2.0,1.0,1.0,2.0,FWD,Everton,60,1
Charlie Taylor,2020-12-05,11,2020,3.0,4.0,3.0,3.0,3.0,3.0,DEF,Burnley,44,2
Che Adams,2020-12-07,11,2020,4.0,4.0,4.0,4.0,4.0,4.0,FWD,Southampton,60,2
Cheikhou Kouyaté,2020-12-06,11,2020,2.0,3.0,3.0,2.0,3.0,3.0,MID,Crystal Palace,50,2
Chris Basham,2020-12-06,11,2020,3.0,2.0,3.0,2.0,3.0,2.0,DEF,Sheffield Utd,48,1
Chris Wood,2020-12-05,11,2020,4.0,4.0,4.0,4.0,4.0,4.0,FWD,Burnley,62,2
Christian Benteke,2020-12-06,11,2020,3.0,4.0,3.0,2.0,4.0,3.0,FWD,Crystal Palace,55,13
Christian Fuchs,2020-12-06,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,DEF,Leicester,45,1
Christian Pulisic,2020-12-05,11,2020,3.0,2.0,3.0,2.0,3.0,3.0,MID,Chelsea,82,8
Conor Coady,2020-12-06,11,2020,2.0,2.0,2.0,3.0,2.0,3.0,DEF,Wolves,50,0
Conor Gallagher,2020-12-06,11,2020,3.0,3.0,4.0,3.0,3.0,3.0,MID,West Brom,55,7
Curtis Jones,2020-12-06,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Liverpool,44,3
Daniel Castelo Podence,2020-12-06,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Wolves,54,2
Daniel Ceballos Fernández,2020-12-06,11,2020,0.0,1.0,1.0,1.0,1.0,2.0,MID,Arsenal,48,1
Danny Ings,2020-12-07,11,2020,3.0,3.0,3.0,5.0,3.0,4.0,FWD,Southampton,83,8
Danny Welbeck,2020-12-07,11,2020,4.0,3.0,3.0,4.0,4.0,4.0,FWD,Brighton,55,5
Dara O'Shea,2020-12-06,11,2020,1.0,1.0,2.0,1.0,1.0,2.0,DEF,West Brom,43,1
Darnell Furlong,2020-12-06,11,2020,3.0,3.0,3.0,3.0,4.0,4.0,DEF,West Brom,45,1
Dean Henderson,2020-12-05,11,2020,3.0,3.0,3.0,3.0,4.0,3.0,GK,Man Utd,53,3
Declan Rice,2020-12-05,11,2020,3.0,3.0,3.0,2.0,3.0,3.0,MID,West Ham,48,5
Dennis Praet,2020-12-06,11,2020,1.0,1.0,2.0,1.0,2.0,3.0,MID,Leicester,55,1
Diego Llorente,2020-12-05,11,2020,0.0,1.0,1.0,1.0,1.0,1.0,DEF,Leeds,44,0
Diogo Jota,2020-12-06,11,2020,3.0,2.0,2.0,5.0,3.0,3.0,MID,Liverpool,69,1
Dominic Calvert-Lewin,2020-12-05,11,2020,5.0,5.0,3.0,4.0,5.0,5.0,FWD,Everton,80,6
Donny van de Beek,2020-12-05,11,2020,3.0,3.0,3.0,2.0,3.0,3.0,MID,Man Utd,67,1
Dwight McNeil,2020-12-05,11,2020,4.0,4.0,4.0,3.0,4.0,3.0,MID,Burnley,58,2
Eberechi Eze,2020-12-06,11,2020,3.0,4.0,4.0,3.0,4.0,3.0,MID,Crystal Palace,58,5
Ederson Santana de Moraes,2020-12-05,11,2020,5.0,4.0,4.0,4.0,5.0,4.0,GK,Man City,60,6
Edinson Cavani,2020-12-05,11,2020,4.0,4.0,4.0,5.0,4.0,5.0,FWD,Man Utd,81,1
Edouard Mendy,2020-12-05,11,2020,4.0,5.0,5.0,4.0,5.0,4.0,GK,Chelsea,52,2
Edward Nketiah,2020-12-06,11,2020,1.0,1.0,2.0,2.0,1.0,2.0,FWD,Arsenal,55,1
Eric Dier,2020-12-06,11,2020,3.0,2.0,3.0,3.0,3.0,3.0,DEF,Spurs,49,6
Ezgjan Alioski,2020-12-05,11,2020,2.0,2.0,2.0,3.0,3.0,3.0,DEF,Leeds,44,1
Fabian Delph,2020-12-05,11,2020,2.0,3.0,2.0,2.0,3.0,3.0,MID,Everton,49,1
Fabio Henrique Tavares,2020-12-06,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Liverpool,54,3
Fabio Silva,2020-12-06,11,2020,1.0,1.0,2.0,2.0,1.0,2.0,FWD,Wolves,52,1
Fabián Balbuena,2020-12-05,11,2020,3.0,3.0,4.0,3.0,3.0,3.0,DEF,West Ham,44,1
Fernando Marçal,2020-12-06,11,2020,2.0,2.0,2.0,2.0,2.0,2.0,DEF,Wolves,48,0
Filip Krovinovic,2020-12-06,11,2020,1.0,1.0,2.0,1.0,2.0,2.0,MID,West Brom,50,1
Gabriel Fernando de Jesus,2020-12-05,11,2020,6.0,6.0,4.0,5.0,6.0,6.0,FWD,Man City,94,2
Gabriel Magalhães,2020-12-06,11,2020,2.0,2.0,3.0,3.0,3.0,3.0,DEF,Arsenal,51,1
Gary Cahill,2020-12-06,11,2020,3.0,4.0,3.0,3.0,3.0,4.0,DEF,Crystal Palace,45,2
George Baldock,2020-12-06,11,2020,3.0,2.0,3.0,3.0,4.0,2.0,DEF,Sheffield Utd,52,1
Georginio Wijnaldum,2020-12-06,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Liverpool,53,8
Giovani Lo Celso,2020-12-06,11,2020,4.0,3.0,3.0,3.0,4.0,3.0,MID,Spurs,69,2
Grady Diangana,2020-12-06,11,2020,3.0,3.0,3.0,2.0,4.0,3.0,MID,West Brom,53,1
Granit Xhaka,2020-12-06,11,2020,2.0,2.0,2.0,2.0,2.0,3.0,MID,Arsenal,53,1
Gylfi Sigurdsson,2020-12-05,11,2020,1.0,1.0,2.0,1.0,2.0,2.0,MID,Everton,68,1
Hakim Ziyech,2020-12-05,11,2020,6.0,6.0,4.0,4.0,6.0,5.0,MID,Chelsea,83,1
Harrison Reed,2020-12-05,11,2020,1.0,2.0,2.0,2.0,1.0,2.0,MID,Fulham,44,2
Harry Kane,2020-12-06,11,2020,6.0,5.0,4.0,5.0,7.0,4.0,FWD,Spurs,109,12
Harry Maguire,2020-12-05,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,DEF,Man Utd,54,2
Heung-Min Son,2020-12-06,11,2020,6.0,5.0,5.0,6.0,7.0,5.0,MID,Spurs,95,13
Hugo Lloris,2020-12-06,11,2020,4.0,3.0,4.0,4.0,4.0,4.0,GK,Spurs,55,6
Héctor Bellerín,2020-12-06,11,2020,3.0,2.0,2.0,3.0,3.0,3.0,DEF,Arsenal,52,1
Ian Carlo Poveda-Ocampo,2020-12-05,11,2020,0.0,1.0,1.0,1.0,0.0,2.0,MID,Leeds,44,1
Ilkay Gündogan,2020-12-05,11,2020,4.0,3.0,3.0,3.0,4.0,3.0,MID,Man City,54,3
Illan Meslier,2020-12-05,11,2020,3.0,3.0,3.0,3.0,4.0,3.0,GK,Leeds,46,3
Ivan Ricardo Neves Abreu Cavaleiro,2020-12-05,11,2020,2.0,2.0,3.0,2.0,3.0,3.0,MID,Fulham,53,2
Jack Harrison,2020-12-05,11,2020,3.0,3.0,3.0,4.0,3.0,3.0,MID,Leeds,55,1
Jairo Riedewald,2020-12-06,11,2020,1.0,2.0,2.0,1.0,1.0,2.0,MID,Crystal Palace,44,1
James Justin,2020-12-06,11,2020,3.0,4.0,3.0,3.0,4.0,3.0,DEF,Leicester,49,2
James Maddison,2020-12-06,11,2020,3.0,4.0,3.0,3.0,4.0,3.0,MID,Leicester,70,4
James McArthur,2020-12-06,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Crystal Palace,53,4
James Rodríguez,2020-12-05,11,2020,4.0,5.0,4.0,5.0,5.0,3.0,MID,Everton,78,2
James Tarkowski,2020-12-05,11,2020,3.0,4.0,3.0,3.0,3.0,3.0,DEF,Burnley,53,2
James Ward-Prowse,2020-12-07,11,2020,4.0,4.0,4.0,3.0,4.0,3.0,MID,Southampton,61,5
Jamie Vardy,2020-12-06,11,2020,5.0,6.0,5.0,5.0,6.0,4.0,FWD,Leicester,103,8
Jan Bednarek,2020-12-07,11,2020,3.0,4.0,3.0,3.0,3.0,3.0,DEF,Southampton,45,2
Jannik Vestergaard,2020-12-07,11,2020,3.0,4.0,3.0,3.0,3.0,4.0,DEF,Southampton,48,9
Jarrod Bowen,2020-12-05,11,2020,4.0,4.0,4.0,3.0,4.0,4.0,MID,West Ham,63,2
Jay Rodriguez,2020-12-05,11,2020,4.0,4.0,4.0,3.0,4.0,3.0,FWD,Burnley,58,2
Jeffrey Schlupp,2020-12-06,11,2020,3.0,4.0,3.0,3.0,4.0,3.0,MID,Crystal Palace,54,2
Joachim Andersen,2020-12-05,11,2020,2.0,1.0,1.0,1.0,2.0,2.0,DEF,Fulham,45,1
Joe Rodon,2020-12-06,11,2020,1.0,1.0,2.0,1.0,1.0,2.0,DEF,Spurs,50,1
Joel Matip,2020-12-06,11,2020,3.0,3.0,3.0,3.0,4.0,3.0,DEF,Liverpool,54,14
John Egan,2020-12-06,11,2020,3.0,2.0,3.0,2.0,3.0,2.0,DEF,Sheffield Utd,48,1
John Fleck,2020-12-06,11,2020,3.0,2.0,3.0,2.0,3.0,2.0,MID,Sheffield Utd,56,2
John Lundstram,2020-12-06,11,2020,3.0,2.0,3.0,3.0,3.0,2.0,MID,Sheffield Utd,50,5
John Stones,2020-12-05,11,2020,4.0,4.0,4.0,3.0,4.0,3.0,DEF,Man City,48,6
Jonny Evans,2020-12-06,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,DEF,Leicester,55,2
Jordan Ayew,2020-12-06,11,2020,1.0,2.0,3.0,2.0,2.0,2.0,FWD,Crystal Palace,57,1
Jordan Henderson,2020-12-06,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Liverpool,54,11
Jordan Pickford,2020-12-05,11,2020,3.0,4.0,3.0,3.0,4.0,3.0,GK,Everton,49,2
Josh Benson,2020-12-05,11,2020,1.0,1.0,2.0,1.0,1.0,2.0,MID,Burnley,45,1
Josh Brownhill,2020-12-05,11,2020,3.0,3.0,4.0,3.0,4.0,3.0,MID,Burnley,50,2
João Filipe Iria Santos Moutinho,2020-12-06,11,2020,2.0,2.0,2.0,2.0,2.0,2.0,MID,Wolves,52,1
João Pedro Cavaco Cancelo,2020-12-05,11,2020,5.0,5.0,4.0,4.0,5.0,4.0,DEF,Man City,55,6
Joël Veltman,2020-12-07,11,2020,3.0,2.0,3.0,3.0,3.0,3.0,DEF,Brighton,43,1
Juan Mata,2020-12-05,11,2020,2.0,1.0,2.0,2.0,2.0,2.0,MID,Man Utd,59,4
Kai Havertz,2020-12-05,11,2020,5.0,5.0,4.0,3.0,5.0,4.0,MID,Chelsea,83,2
Kalvin Phillips,2020-12-05,11,2020,2.0,2.0,3.0,2.0,2.0,3.0,MID,Leeds,49,7
Karlan Grant,2020-12-06,11,2020,4.0,3.0,4.0,2.0,4.0,3.0,FWD,West Brom,59,2
Kasper Schmeichel,2020-12-06,11,2020,4.0,4.0,3.0,4.0,4.0,3.0,GK,Leicester,55,2
Kean Bryan,2020-12-06,11,2020,3.0,2.0,3.0,3.0,3.0,2.0,DEF,Sheffield Utd,40,1
Kelechi Iheanacho,2020-12-06,11,2020,2.0,2.0,2.0,1.0,2.0,2.0,FWD,Leicester,56,1
Kevin De Bruyne,2020-12-05,11,2020,7.0,7.0,7.0,6.0,8.0,6.0,MID,Man City,117,14
Kieran Tierney,2020-12-06,11,2020,3.0,2.0,3.0,4.0,3.0,3.0,DEF,Arsenal,54,1
Kurt Zouma,2020-12-05,11,2020,4.0,5.0,4.0,4.0,4.0,4.0,DEF,Chelsea,56,8
Kyle Bartley,2020-12-06,11,2020,3.0,3.0,3.0,2.0,3.0,3.0,DEF,West Brom,44,0
Kyle Walker-Peters,2020-12-07,11,2020,3.0,4.0,3.0,3.0,3.0,3.0,DEF,Southampton,46,5
Leander Dendoncker,2020-12-06,11,2020,2.0,2.0,3.0,3.0,2.0,3.0,MID,Wolves,48,2
Leandro Trossard,2020-12-07,11,2020,2.0,2.0,3.0,2.0,2.0,2.0,MID,Brighton,59,1
Lewis Dunk,2020-12-07,11,2020,3.0,2.0,3.0,3.0,3.0,3.0,DEF,Brighton,48,0
Liam Cooper,2020-12-05,11,2020,2.0,2.0,2.0,2.0,2.0,3.0,DEF,Leeds,44,1
Lucas Rodrigues Moura da Silva,2020-12-06,11,2020,2.0,1.0,3.0,2.0,2.0,2.0,MID,Spurs,67,1
Luka Milivojevic,2020-12-06,11,2020,3.0,3.0,3.0,2.0,3.0,3.0,MID,Crystal Palace,56,1
Lukasz Fabianski,2020-12-05,11,2020,4.0,4.0,4.0,4.0,4.0,4.0,GK,West Ham,51,2
Luke Ayling,2020-12-05,11,2020,2.0,2.0,2.0,2.0,3.0,3.0,DEF,Leeds,45,1
Manuel Lanzini,2020-12-05,11,2020,2.0,1.0,2.0,1.0,2.0,2.0,MID,West Ham,64,1
Marc Albrighton,2020-12-06,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Leicester,53,5
Marcus Rashford,2020-12-05,11,2020,3.0,2.0,3.0,4.0,3.0,3.0,MID,Man Utd,95,6
Mario Lemina,2020-12-05,11,2020,-0.0,1.0,1.0,1.0,-0.0,1.0,MID,Fulham,45,1
Mason Greenwood,2020-12-05,11,2020,4.0,3.0,4.0,3.0,4.0,3.0,MID,Man Utd,71,7
Mason Mount,2020-12-05,11,2020,5.0,5.0,4.0,4.0,5.0,4.0,MID,Chelsea,68,8
Mateo Kovacic,2020-12-05,11,2020,2.0,2.0,2.0,2.0,2.0,2.0,MID,Chelsea,53,1
Mateusz Klich,2020-12-05,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Leeds,55,2
Matheus Pereira,2020-12-06,11,2020,3.0,3.0,4.0,3.0,4.0,3.0,MID,West Brom,57,-2
Mathew Ryan,2020-12-07,11,2020,4.0,3.0,4.0,3.0,4.0,3.0,GK,Brighton,45,1
Matt Phillips,2020-12-06,11,2020,3.0,3.0,3.0,3.0,3.0,2.0,MID,West Brom,51,2
Matthew Lowton,2020-12-05,11,2020,3.0,4.0,3.0,3.0,3.0,4.0,DEF,Burnley,44,2
Max Lowe,2020-12-06,11,2020,3.0,2.0,3.0,3.0,3.0,2.0,DEF,Sheffield Utd,44,0
Michael Keane,2020-12-05,11,2020,2.0,4.0,2.0,2.0,3.0,3.0,DEF,Everton,51,2
Michy Batshuayi,2020-12-06,11,2020,2.0,2.0,3.0,2.0,2.0,2.0,FWD,Crystal Palace,58,1
Mohamed Salah,2020-12-06,11,2020,7.0,6.0,6.0,6.0,7.0,6.0,MID,Liverpool,122,14
Moise Kean,2020-12-05,11,2020,3.0,3.0,3.0,3.0,3.0,3.0,FWD,Everton,58,0
Moussa Djenepo,2020-12-07,11,2020,3.0,4.0,3.0,3.0,3.0,3.0,MID,Southampton,54,0
Moussa Sissoko,2020-12-06,11,2020,3.0,2.0,3.0,3.0,3.0,3.0,MID,Spurs,48,3
N'Golo Kanté,2020-12-05,11,2020,3.0,4.0,4.0,3.0,4.0,3.0,MID,Chelsea,49,2
Naby Keita,2020-12-06,11,2020,1.0,1.0,2.0,2.0,2.0,2.0,MID,Liverpool,52,1
Nampalys Mendy,2020-12-06,11,2020,2.0,3.0,3.0,3.0,3.0,3.0,MID,Leicester,45,2
Nathan Redmond,2020-12-07,11,2020,2.0,2.0,2.0,2.0,2.0,2.0,MID,Southampton,64,1
Nathaniel Clyne,2020-12-06,11,2020,3.0,4.0,3.0,3.0,4.0,4.0,DEF,Crystal Palace,45,5
Neal Maupay,2020-12-07,11,2020,2.0,2.0,2.0,3.0,2.0,2.0,FWD,Brighton,62,1
Neco Williams,2020-12-06,11,2020,3.0,3.0,3.0,3.0,4.0,3.0,DEF,Liverpool,39,5
Nick Pope,2020-12-05,11,2020,4.0,4.0,4.0,4.0,5.0,4.0,GK,Burnley,54,3
Nélson Cabral Semedo,2020-12-06,11,2020,3.0,2.0,2.0,3.0,3.0,3.0,DEF,Wolves,56,-2
Ola Aina,2020-12-05,11,2020,2.0,1.0,2.0,2.0,2.0,2.0,DEF,Fulham,45,1
Oliver Burke,2020-12-06,11,2020,3.0,3.0,3.0,2.0,3.0,3.0,MID,Sheffield Utd,43,2
Oliver McBurnie,2020-12-06,11,2020,3.0,3.0,4.0,3.0,4.0,3.0,FWD,Sheffield Utd,56,8
Oliver Norwood,2020-12-06,11,2020,1.0,1.0,2.0,1.0,1.0,1.0,MID,Sheffield Utd,47,1
Olivier Giroud,2020-12-05,11,2020,5.0,4.0,4.0,3.0,5.0,4.0,FWD,Chelsea,67,6
