"player_name","kickoff_time","GW","season","total_points","automl"
"Fabio Silva",1600646400000,2,2020,1,1.2667203493085375
"Federico Fernández",1600560000000,2,2020,1,3.857725328361122
"Felipe Anderson Pereira Gomes",1600473600000,2,2020,1,0.9752136301618053
"Fernando Luiz Rosa",1600646400000,2,2020,2,2.613600917087621
"Fernando Marçal",1600646400000,2,2020,1,3.0370331523371945
"Ferran Torres",1600646400000,2,2020,1,1.326235032134243
"Fikayo Tomori",1600560000000,2,2020,0,0.9384958178140521
"Gabriel Fernando de Jesus",1600646400000,2,2020,6,3.951808250203972
"Gabriel Magalhães",1600473600000,2,2020,2,4.291574925566891
"George Baldock",1600646400000,2,2020,2,4.243593627255909
"Georginio Wijnaldum",1600560000000,2,2020,3,3.1505098931591853
"Giovani Lo Celso",1600560000000,2,2020,0,0.8145765263266951
"Grady Diangana",1600473600000,2,2020,7,2.5552571443259673
"Granit Xhaka",1600473600000,2,2020,2,3.0900681151995317
"Gylfi Sigurdsson",1600473600000,2,2020,1,2.1066743895428135
"Harrison Reed",1600473600000,2,2020,2,2.3785234818415084
"Harry Kane",1600560000000,2,2020,21,5.399002870409674
"Harry Maguire",1600473600000,2,2020,0,2.7920416985537377
"Harry Winks",1600560000000,2,2020,2,2.1558417154827954
"Harvey Barnes",1600560000000,2,2020,13,5.49338540423149
"Heung-Min Son",1600560000000,2,2020,24,5.7693717261848265
"Hugo Lloris",1600560000000,2,2020,2,3.663183701871146
"Héctor Bellerín",1600473600000,2,2020,2,3.640965855035339
"Hélder Wander Sousa de Azevedo e Costa",1600473600000,2,2020,14,4.822510834430847
"Illan Meslier",1600473600000,2,2020,2,2.9304092970968028
"Isaac Hayden",1600560000000,2,2020,2,2.78001889781131
"Issa Diop",1600473600000,2,2020,1,2.3436108950753125
"Ivan Ricardo Neves Abreu Cavaleiro",1600473600000,2,2020,2,2.9034520259315366
"Jack Grealish",1600646400000,2,2020,3,4.571954887466271
"Jack Harrison",1600473600000,2,2020,2,4.8068695884899055
"Jack O'Connell",1600646400000,2,2020,2,3.5450768279403695
"Jack Stephens",1600560000000,2,2020,-1,2.901508886706148
"Jake Livermore",1600473600000,2,2020,2,2.0296670501031135
"Jamaal Lascelles",1600560000000,2,2020,0,3.4458128197628306
"Jamal Lewis",1600560000000,2,2020,0,2.8177722273219428
"James Justin",1600560000000,2,2020,7,2.847724732126925
"James Maddison",1600560000000,2,2020,1,2.307989521368776
