player_name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home
Willy Caballero,GK,Chelsea,101,173,Leicester,0,False,2021-01-19,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-103,15789,66,169,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Andreas Christensen,DEF,Chelsea,116,283,Liverpool,8,False,2021-03-04,0,1,26,90,0,0,1,0,0,0,0,0,0,0,2,31,20.6,0.3,0.0,2.1,47,15,18295,915,900,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Antonio Rüdiger,DEF,Chelsea,109,283,Liverpool,6,False,2021-03-04,0,1,26,90,0,0,1,0,0,0,0,0,0,0,0,29,22.2,0.4,0.0,2.3,46,-1611,284917,33341,34952,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Benjamin Chilwell,DEF,Chelsea,232,283,Liverpool,6,False,2021-03-04,0,1,26,90,0,0,1,0,0,0,0,0,0,0,0,24,18.4,22.3,19.0,6.0,58,-184564,1039245,7434,191998,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Billy Gilmour,MID,Chelsea,124,283,Liverpool,0,False,2021-03-04,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-37,7901,243,280,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Callum Hudson-Odoi,MID,Chelsea,122,283,Liverpool,0,False,2021-03-04,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-10881,50259,3726,14607,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Christian Pulisic,MID,Chelsea,119,283,Liverpool,1,False,2021-03-04,0,1,26,24,0,0,0,0,0,0,0,0,0,0,0,4,1.4,0.3,0.0,0.2,82,-6303,136200,628,6931,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
César Azpilicueta,DEF,Chelsea,102,283,Liverpool,7,False,2021-03-04,0,1,26,90,0,0,1,0,0,0,0,0,0,0,1,30,22.2,24.4,1.0,4.8,57,-1220,388474,36871,38091,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Edouard Mendy,GK,Chelsea,548,283,Liverpool,6,False,2021-03-04,0,1,26,90,0,0,1,0,0,0,0,0,0,1,0,25,12.0,0.0,0.0,1.2,51,-55696,528454,7948,63644,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Emerson Palmieri dos Santos,DEF,Chelsea,111,283,Liverpool,0,False,2021-03-04,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-112,11052,133,245,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Faustino Anjorin,MID,Chelsea,605,283,Liverpool,0,False,2021-03-04,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,3,464,41,38,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Fikayo Tomori,DEF,Chelsea,121,283,Liverpool,0,False,2021-03-04,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-194,15308,0,194,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Hakim Ziyech,MID,Chelsea,114,283,Liverpool,3,False,2021-03-04,0,1,26,65,0,0,1,0,0,0,0,0,0,0,0,6,0.0,2.5,42.0,4.5,79,-5796,156364,1075,6871,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Jorge Luiz Frello Filho,MID,Chelsea,105,283,Liverpool,3,False,2021-03-04,0,1,26,90,0,0,1,0,0,0,0,0,0,0,0,15,25.4,2.0,0.0,2.7,47,10432,358107,37663,27231,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Kai Havertz,MID,Chelsea,500,283,Liverpool,1,False,2021-03-04,0,1,26,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,82,-1347,194537,939,2286,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Karlo Ziger,GK,Chelsea,593,283,Liverpool,0,False,2021-03-04,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2417,56192,440,2857,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Kepa Arrizabalaga,GK,Chelsea,112,283,Liverpool,0,False,2021-03-04,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-1533,45717,458,1991,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Kurt Zouma,DEF,Chelsea,110,283,Liverpool,0,False,2021-03-04,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-25600,693755,5235,30835,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
