,GW,player_name,total_points,was_home,team_h,team_h_difficulty,team_h_score,team_h_strength_attack,team_h_strength_defense,team_h_strength_overall,team_a,team_a_difficulty,team_a_score,team_h_strength_attack,team_h_strength_defense,team_h_strength_overall,position,goals_scored,goals_conceded,assists_x,clean_sheets,penalties_saved,penalties_missed,saves,own_goals,red_cards,yellow_cards,minutes,selected,value,bonus,bps,transfers_balance,transfers_in,transfers_out,influence,creativity,threat,ict_index,kickoff_time,shots,key_passes,xG,xA,npg,npxG,xGChain,xGBuildup
5064,1,James Justin,9,False,West Bromwich Albion,4,0,[],[],[],Leicester,2,3,[],[],[],DEF,0,0,1,1,0,0,0,0,0,1,90,681843,45,1,32,0,0,0,20.0,13.0,2.0,3.5,2020-09-13,0,1,0.0,0.04493649303913117,0,0.0,0.7254000902175903,0.7254000902175903
5063,1,Harvey Barnes,3,False,West Bromwich Albion,4,0,[],[],[],Leicester,2,3,[],[],[],MID,0,0,0,1,0,0,0,0,0,0,90,251556,70,0,8,0,0,0,18.0,18.3,66.0,10.2,2020-09-13,5,1,0.6487308740615845,0.027250243350863457,0,0.6487308740615845,0.6375914812088013,0.0
5062,1,Dennis Praet,6,False,West Bromwich Albion,4,0,[],[],[],Leicester,2,3,[],[],[],MID,0,0,1,1,0,0,0,0,0,0,74,4535,55,0,25,0,0,0,27.8,16.8,33.0,7.8,2020-09-13,2,1,0.08649278432130814,0.5676683783531189,0,0.08649278432130814,0.7203801274299622,0.6338873505592346
5061,1,Ayoze Pérez,3,False,West Bromwich Albion,4,0,[],[],[],Leicester,2,3,[],[],[],MID,0,0,0,1,0,0,0,0,0,0,66,215629,65,0,5,0,0,0,0.0,2.5,24.0,2.7,2020-09-13,1,0,0.06621893495321274,0.0,0,0.06621893495321274,0.6338873505592346,0.5676683783531189
10213,1,Oluwasemilogo Adesewo Ibidapo Ajayi,0,True,West Bromwich Albion,4,0,[],[],[],Leicester,2,3,[],[],[],DEF,0,3,0,0,0,0,0,0,0,1,90,21428,50,0,2,0,0,0,0.2,0.5,0.0,0.1,2020-09-13,0,0,0.0,0.0,0,0.0,0.0,0.0
2393,1,Adama Traoré,3,False,Sheffield United,2,0,[],[],[],Wolverhampton Wanderers,2,2,[],[],[],MID,0,0,0,1,0,0,0,0,0,0,90,1189095,65,0,6,0,0,0,12.8,1.8,17.0,3.2,2020-09-14,3,0,0.15534372627735138,0.0,0,0.15534372627735138,0.15534372627735138,0.0
2395,1,Fernando Marçal,5,False,Sheffield United,2,0,[],[],[],Wolverhampton Wanderers,2,2,[],[],[],DEF,0,0,0,1,0,0,0,0,0,1,90,15739,50,0,21,0,0,0,15.2,1.5,0.0,1.7,2020-09-14,0,0,0.0,0.0,0,0.0,0.431040495634079,0.431040495634079
2396,1,Leander Dendoncker,3,False,Sheffield United,2,0,[],[],[],Wolverhampton Wanderers,2,2,[],[],[],MID,0,0,0,1,0,0,0,0,0,0,90,145802,50,0,11,0,0,0,16.4,15.4,4.0,3.6,2020-09-14,0,1,0.0,0.05364562198519707,0,0.0,0.08956752717494965,0.035921908915042884
2397,1,Oskar Buur,1,False,Sheffield United,2,0,[],[],[],Wolverhampton Wanderers,2,2,[],[],[],DEF,0,0,0,0,0,0,0,0,0,0,22,106766,40,0,2,0,0,0,0.6,0.5,0.0,0.1,2020-09-14,0,0,0.0,0.0,0,0.0,0.0,0.0
2398,1,Raúl Jiménez,8,False,Sheffield United,2,0,[],[],[],Wolverhampton Wanderers,2,2,[],[],[],FWD,1,0,0,1,0,0,0,0,0,0,90,1082647,85,2,29,0,0,0,41.2,8.5,48.0,9.8,2020-09-14,5,1,1.0221934318542478,0.2900322377681732,1,1.0221934318542478,1.2827733755111694,0.035921908915042884
10083,1,Hélder Wander Sousa de Azevedo e Costa,5,False,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],MID,0,4,1,0,0,0,0,0,0,0,90,18135,55,0,18,0,0,0,25.6,14.9,6.0,4.7,2020-09-12,0,1,0.0,0.0732194110751152,0,0.0,0.10459167510271072,0.03137226775288582
9285,1,Mohamed Naser El Sayed Elneny,3,False,Fulham,3,0,[1150],[1040],[1095.],Arsenal,2,3,[1150],[1040],[1095.],MID,0,0,0,1,0,0,0,0,0,0,90,0,45,0,15,0,0,0,10.6,3.8,18.0,3.2,2020-09-12,1,0,0.11015225946903227,0.0,0,0.11015225946903227,0.4570853710174561,0.3469330966472626
2394,1,Conor Coady,8,False,Sheffield United,2,0,[],[],[],Wolverhampton Wanderers,2,2,[],[],[],DEF,0,0,0,1,0,0,0,0,0,0,90,556410,50,2,29,0,0,0,22.0,0.0,0.0,2.2,2020-09-14,0,0,0.0,0.0,0,0.0,0.044138405472040176,0.044138405472040176
5067,1,Kasper Schmeichel,6,False,West Bromwich Albion,4,0,[],[],[],Leicester,2,3,[],[],[],GK,0,0,0,1,0,0,1,0,0,0,90,828679,55,0,21,0,0,0,12.2,0.0,0.0,1.2,2020-09-13,0,0,0.0,0.0,0,0.0,0.07382649183273315,0.07382649183273315
1404,1,Sean Longstaff,1,False,West Ham,2,0,[1140],[1260],[1200.],Newcastle,4,2,[1140],[1260],[1200.],MID,0,0,0,0,0,0,0,0,0,0,2,7807,50,0,3,0,0,0,1.0,0.3,0.0,0.1,2020-09-12,0,0,0.0,0.0,0,0.0,0.1353103071451187,0.1353103071451187
4639,1,Trent Alexander-Arnold,1,True,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],DEF,0,3,0,0,0,0,0,0,0,0,88,3227802,75,0,10,0,0,0,7.8,30.4,0.0,3.8,2020-09-12,0,2,0.0,0.07094989717006682,0,0.0,0.1538739651441574,0.1538739651441574
4216,1,Jack Harrison,7,False,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],MID,1,4,0,0,0,0,0,0,0,0,90,30491,55,0,23,0,0,0,43.6,6.5,19.0,6.9,2020-09-12,1,0,0.05824599787592887,0.0,1,0.05824599787592887,0.05824599787592887,0.0
4217,1,Jamie Shackleton,1,False,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],MID,0,1,0,0,0,0,0,0,0,0,9,3045,50,0,6,0,0,0,3.0,0.4,0.0,0.3,2020-09-12,0,0,0.0,0.0,0,0.0,0.03137226775288582,0.03137226775288582
4218,1,Kalvin Phillips,5,False,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],MID,0,4,1,0,0,0,0,0,0,0,90,138291,50,0,24,0,0,0,36.4,24.6,1.0,6.2,2020-09-12,1,2,0.03589872643351555,0.0896182656288147,0,0.03589872643351555,0.1628376692533493,0.0732194110751152
4219,1,Luke Ayling,0,False,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],DEF,0,4,0,0,0,0,0,0,0,0,90,237865,45,0,15,0,0,0,35.6,4.3,0.0,4.0,2020-09-12,0,0,0.0,0.0,0,0.0,0.03137226775288582,0.03137226775288582
4220,1,Mateusz Klich,9,False,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],MID,1,3,0,0,0,0,0,0,0,0,80,34553,55,2,33,0,0,0,54.8,4.8,23.0,8.3,2020-09-12,1,0,0.0732194110751152,0.0,1,0.0732194110751152,0.0732194110751152,0.0
4221,1,Pascal Struijk,0,False,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],DEF,0,4,0,0,0,0,0,0,0,0,90,97197,40,0,19,0,0,0,41.0,0.1,0.0,4.1,2020-09-12,0,0,0.0,0.0,0,0.0,0.0,0.0
4222,1,Patrick Bamford,7,False,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],FWD,1,3,0,0,0,0,0,0,0,0,61,226666,55,1,28,0,0,0,40.0,0.5,27.0,6.8,2020-09-12,2,0,0.07107684016227722,0.0,1,0.07107684016227722,0.07107684016227722,0.0
