player_name,position_x,team,FPL_ID,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists_x,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Neal Maupay,FWD,Brighton,68,16,Newcastle,16,False,2020-09-20,0,3,2,90,2,1,1,0,0,0,0,0,0,0,3,66,88.4,14.6,60.0,16.3,65,-9748,101960,7825,17573,2,Brighton,2,Newcastle,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,2,4,1.4172009229660034,90,FW,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416343,0.08951738476753235,1,1,1,0.6560688614845276,0.8347939848899841,0.14083370566368106
Steven Alzate,MID,Brighton,79,16,Newcastle,3,False,2020-09-20,0,3,2,90,0,0,1,0,0,0,0,0,0,0,0,11,6.8,13.8,2.0,2.3,45,7527,34504,13842,6315,2,Brighton,2,Newcastle,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,90,MC,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416339,0.07610355317592621,0,1,0,0.0,0.19972175359725952,0.12361820042133333
Tariq Lamptey,DEF,Brighton,77,16,Newcastle,4,False,2020-09-20,0,3,2,57,0,1,0,0,0,0,0,0,0,0,0,12,4.8,0.9,21.0,2.7,45,95722,255961,121019,25297,2,Brighton,2,Newcastle,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.07610355317592621,63,MR,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416338,0.0,0,0,0,0.07610355317592621,0.6667563319206238,0.5906527638435364
Yves Bissouma,MID,Brighton,76,16,Newcastle,0,False,2020-09-20,0,3,2,88,0,0,1,0,0,0,0,0,1,0,0,3,0.0,3.9,2.0,0.3,45,21711,314988,52550,30839,2,Brighton,2,Newcastle,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,2,0.027758950367569923,90,MC,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416340,0.0,0,0,0,0.027758950367569923,0.1058114618062973,0.08859595656394957
Aaron Connolly,FWD,Brighton,78,19,Manchester United,2,True,2020-09-26,2,3,3,73,0,0,0,2,0,0,0,0,0,0,0,2,0.0,12.1,8.0,1.9,55,13526,55356,26823,13297,3,Manchester United,3,Brighton,4,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.032654739916324615,77,FW,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417137,0.040683213621377945,0,1,0,0.032654739916324615,0.040683213621377945,0.0
Adam Lallana,MID,Brighton,54,19,Manchester United,2,True,2020-09-26,2,3,3,73,0,0,0,2,0,0,0,0,0,0,0,7,1.4,2.8,0.0,0.4,64,-13848,45742,1340,15188,3,Manchester United,3,Brighton,4,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,77,MC,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417135,0.0,0,0,0,0.0,0.3668575882911682,0.3668575882911682
Adam Webster,DEF,Brighton,66,19,Manchester United,1,True,2020-09-26,2,3,3,90,0,0,0,3,0,0,0,0,0,0,0,12,12.4,0.8,17.0,3.0,45,-4037,173190,15990,20027,3,Manchester United,3,Brighton,4,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.04414254799485207,90,DC,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417130,0.0,0,0,0,0.04414254799485207,0.33388960361480713,0.33388960361480713
Alireza Jahanbakhsh,MID,Brighton,71,19,Manchester United,3,True,2020-09-26,2,3,3,16,0,1,0,1,0,0,0,1,0,0,0,20,24.2,30.4,10.0,6.5,55,-348,3886,304,652,3,Manchester United,3,Brighton,4,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.02327327057719231,13,Sub,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417140,0.7716603875160217,1,2,0,0.02327327057719231,0.9181707501411438,0.6474481821060181
Ben White,DEF,Brighton,74,19,Manchester United,0,True,2020-09-26,2,3,3,90,0,0,0,3,0,0,0,1,0,0,0,14,22.6,17.0,2.0,4.2,45,7469,111432,21069,13600,3,Manchester United,3,Brighton,4,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,90,DC,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417131,0.06316699832677841,0,1,0,0.0,0.8902791738510132,0.8902791738510132
Leandro Trossard,MID,Brighton,69,19,Manchester United,1,True,2020-09-26,2,3,3,90,0,0,0,3,0,0,0,1,0,0,0,-3,3.0,25.0,23.0,5.1,60,17274,71199,34630,17356,3,Manchester United,3,Brighton,4,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,4,0.8914833068847656,90,FWR,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417136,0.14871929585933685,0,3,0,0.8914833068847656,0.7781429290771484,0.4000878036022186
Lewis Dunk,DEF,Brighton,62,19,Manchester United,-2,True,2020-09-26,2,3,3,90,0,0,0,3,1,0,0,1,0,0,0,5,0.6,0.8,2.0,0.3,50,-14632,510370,30378,45010,3,Manchester United,3,Brighton,4,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,90,DC,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417129,0.0,0,0,0,0.0,0.500937819480896,0.500937819480896
