,player_name,GW,kickoff_time,total_points,goals_scored,goals_conceded,assists,clean_sheets,penalties_saved,penalties_missed,saves,own_goals,red_cards,yellow_cards,minutes,value,bonus,bps,transfers_in,influence,creativity,threat,ict_index,position_DEF,position_FWD,position_GK,position_MID,team_h_Arsenal,team_h_Manchester City,team_h_Newcastle
54,Joel Ward,1,2019-08-10,6,0,0,0,1,0,0,0,0,0,0,90,45,0,23,0,13.2,0.9,0.0,1.4,1,0,0,0,0,0,0
55,James Tomkins,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
56,Cenk Tosun,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
57,Bernard Anício Caldeira Duarte,1,2019-08-10,2,0,0,0,1,0,0,0,0,0,1,90,65,0,4,0,6.8,18.5,10.0,3.5,0,0,0,1,0,0,0
58,André Filipe Tavares Gomes,1,2019-08-10,1,0,0,0,0,0,0,0,0,0,0,45,55,0,6,0,7.6,11.3,0.0,1.9,0,0,0,1,0,0,0
59,Yan Valery,1,2019-08-10,1,0,3,0,0,0,0,0,0,0,0,90,50,0,5,0,7.8,15.2,6.0,2.9,1,0,0,0,0,0,0
60,Billy Sharp,1,2019-08-10,8,1,0,0,0,0,0,0,0,0,0,8,60,3,26,0,32.4,0.5,35.0,6.8,0,1,0,0,0,0,0
61,Tom Trybull,1,2019-08-09,2,0,4,0,0,0,0,0,0,0,0,69,45,0,11,0,4.4,0.6,4.0,0.9,0,0,0,1,0,0,0
62,Todd Cantwell,1,2019-08-09,2,0,4,0,0,0,0,0,0,0,0,90,45,0,10,0,15.6,33.9,2.0,5.2,0,0,0,1,0,0,0
63,Tim Krul,1,2019-08-09,1,0,4,0,0,0,0,4,0,0,0,90,45,0,19,0,30.4,0.0,0.0,3.0,0,0,1,0,0,0,0
64,Timm Klose,1,2019-08-09,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
65,Teemu Pukki,1,2019-08-09,7,1,4,0,0,0,0,0,0,0,0,82,65,1,32,0,39.2,21.2,41.0,10.1,0,1,0,0,0,0,0
66,Sam Byram,1,2019-08-09,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
67,Ralf Fahrmann,1,2019-08-09,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
68,Philip Heise,1,2019-08-09,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
69,Patrick Roberts,1,2019-08-09,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
70,Onel Hernández,1,2019-08-09,1,0,0,0,0,0,0,0,0,0,0,20,55,0,0,0,0.0,0.6,22.0,2.1,0,0,0,1,0,0,0
71,Moritz Leitner,1,2019-08-09,0,0,0,0,0,0,0,0,0,0,1,32,45,0,-3,0,1.2,1.2,4.0,0.6,0,0,0,1,0,0,0
72,Michael McGovern,1,2019-08-09,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
73,Maximillian Aarons,1,2019-08-09,0,0,4,0,0,0,0,0,0,0,0,90,45,0,16,0,25.8,1.4,0.0,2.7,1,0,0,0,0,0,0
74,Mario Vrancic,1,2019-08-09,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
75,Marco Stiepermann,1,2019-08-09,1,0,4,0,0,0,0,0,0,0,0,57,55,0,1,0,1.6,0.4,19.0,2.1,0,0,0,1,0,0,0
76,Kenny McLean,1,2019-08-09,2,0,4,0,0,0,0,0,0,0,0,90,50,0,12,0,11.4,0.6,0.0,1.2,0,0,0,1,0,0,0
77,Josip Drmic,1,2019-08-09,1,0,0,0,0,0,0,0,0,0,0,7,55,0,3,0,0.0,0.3,2.0,0.2,0,1,0,0,0,0,0
78,Jamal Lewis,1,2019-08-09,0,0,4,0,0,0,0,0,0,0,0,90,45,0,15,0,24.2,25.1,0.0,4.9,1,0,0,0,0,0,0
79,Ibrahim Amadou,1,2019-08-09,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
80,Grant Hanley,1,2019-08-09,-2,0,4,0,0,0,0,0,1,0,0,90,40,0,2,0,8.6,0.0,0.0,0.9,1,0,0,0,0,0,0
81,Emiliano Buendía,1,2019-08-09,4,0,4,1,0,0,0,0,0,0,1,90,60,0,16,0,34.2,40.5,24.0,9.9,0,0,0,1,0,0,0
82,Dennis Srbeny,1,2019-08-09,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
83,Christoph Zimmermann,1,2019-08-09,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
84,Wesley Hoedt,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
85,Tyreke Johnson,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
86,Stuart Armstrong,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
87,Sofiane Boufal,1,2019-08-10,1,0,1,0,0,0,0,0,0,0,0,17,55,0,2,0,5.4,12.3,6.0,2.4,0,0,0,1,0,0,0
88,Alex Iwobi,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
89,Ademola Lookman,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
90,Alex McCarthy,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
91,Angus Gunn,1,2019-08-10,1,0,3,0,0,0,0,1,0,0,0,90,45,0,10,0,9.8,0.0,0.0,1.0,0,0,1,0,0,0,0
92,Callum Slattery,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
93,Charlie Austin,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
94,Che Adams,1,2019-08-10,2,0,2,0,0,0,0,0,0,0,0,72,60,0,-5,0,0.0,1.8,21.0,1.6,0,1,0,0,0,0,0
95,Cédric Soares,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
96,Danny Ings,1,2019-08-10,2,0,1,0,0,0,0,0,0,0,0,65,60,0,8,0,4.8,11.0,0.0,1.6,0,1,0,0,0,0,0
97,Fraser Forster,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
98,Jack Stephens,1,2019-08-10,1,0,2,0,0,0,0,0,0,0,0,72,45,0,10,0,10.6,0.1,2.0,1.3,1,0,0,0,0,0,0
99,James Ward-Prowse,1,2019-08-10,2,0,3,0,0,0,0,0,0,0,0,90,60,0,10,0,10.8,15.1,17.0,4.3,0,0,0,1,0,0,0
