,player_name,GW,kickoff_time,total_points,goals_scored,goals_conceded,assists,clean_sheets,penalties_saved,saves,own_goals,red_cards,yellow_cards,minutes,value,bonus,bps,influence,creativity,threat,ict_index,key_passes,xG,xA,npg,npxG,xGChain,xGBuildup,position_DEF,position_FWD,position_MID,team_h_Arsenal,team_h_Manchester City,team_h_Newcastle
65,Isaac Success Ajayi,1,2019-08-10,1,0,1,0,0,0,0,0,0,0,15,50,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,0
66,Jack O'Connell,1,2019-08-10,2,0,1,0,0,0,0,0,0,0,90,45,0,12,15.6,4.6,0.0,2.0,0,0.0,0.0,0,0.0,0.024418622255325317,0.024418622255325317,1,0,0,0,0,0
67,Ross Barkley,1,2019-08-11,1,0,1,0,0,0,0,0,0,0,57,60,0,1,8.0,14.4,18.0,4.0,1,0.08609434962272644,0.024473881348967552,0,0.08609434962272644,0.11056823283433914,0.0,0,0,1,0,0,0
68,Olivier Giroud,1,2019-08-11,1,0,2,0,0,0,0,0,0,0,24,70,0,2,0.0,0.6,0.0,0.0,0,0.0,0.0,0,0.0,0.11489501595497133,0.11489501595497133,0,1,0,0,0,0
69,Mateo Kovacic,1,2019-08-11,2,0,4,0,0,0,0,0,0,0,90,55,0,22,18.0,29.0,0.0,4.7,2,0.0,0.05613167583942413,0,0.0,0.13709776103496552,0.11489501595497133,0,0,1,0,0,0
70,Mason Mount,1,2019-08-11,2,0,4,0,0,0,0,0,0,0,90,60,0,15,25.0,51.8,20.0,9.7,4,0.04659486189484596,0.1820069253444672,0,0.04659486189484596,0.3726339936256409,0.3260391354560852,0,0,1,0,0,0
71,Danny Ings,1,2019-08-10,2,0,1,0,0,0,0,0,0,0,65,60,0,8,4.8,11.0,0.0,1.6,1,0.0,0.04112201184034348,0,0.0,0.04112201184034348,0.0,0,1,0,0,0,0
72,Jack Stephens,1,2019-08-10,1,0,2,0,0,0,0,0,0,0,72,45,0,10,10.6,0.1,2.0,1.3,0,0.0,0.0,0,0.0,0.5794821977615356,0.5794821977615356,1,0,0,0,0,0
73,James Ward-Prowse,1,2019-08-10,2,0,3,0,0,0,0,0,0,0,90,60,0,10,10.8,15.1,17.0,4.3,0,0.06412750482559204,0.0,0,0.06412750482559204,0.7114987969398499,0.6473712921142578,0,0,1,0,0,0
74,Jannik Vestergaard,1,2019-08-10,1,0,3,0,0,0,0,0,0,0,90,50,0,13,16.4,1.3,33.0,5.1,0,0.12154563516378405,0.0,0,0.12154563516378405,0.5794821977615356,0.5794821977615356,1,0,0,0,0,0
75,Jan Bednarek,1,2019-08-10,1,0,3,0,0,0,0,0,0,0,90,45,0,13,20.4,10.8,10.0,4.1,1,0.057172160595655434,0.12154563516378405,0,0.057172160595655434,0.0,0.0,1,0,0,0,0,0
76,Michael Obafemi,1,2019-08-10,1,0,2,0,0,0,0,0,0,0,24,50,0,0,0.0,0.4,4.0,0.4,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,0
77,Nathan Redmond,1,2019-08-10,2,0,3,0,0,0,0,0,0,0,90,65,0,7,2.4,3.1,29.0,3.5,0,0.10901110619306564,0.0,0,0.10901110619306564,0.6884933114051819,0.5794821977615356,0,0,1,0,0,0
78,Pierre-Emile Højbjerg,1,2019-08-10,1,0,1,0,0,0,0,0,0,0,17,50,0,2,0.0,1.1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,0,0,0
