name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Philip Billing,MID,Bournemouth,0,0,13,0,1.3,476,22,3,0,1.7,13.8,2019-08-25T13:00:00Z,90,11,0,0,0,0,3,0,10217,3,1,2.0,2,-1871,575,2446,50,True,0
Philip Heise,DEF,Norwich,0,0,0,0,0.0,484,26,0,0,0.0,0.0,2019-08-24T11:30:00Z,0,6,0,0,0,0,3,0,37441,3,2,0.0,0,-2123,1696,3819,40,True,0
Phil Bardsley,DEF,Burnley,0,0,0,0,0.0,86,30,0,0,0.0,0.0,2019-08-25T15:30:00Z,0,20,0,0,0,0,3,0,10700,1,1,0.0,0,-922,258,1180,45,False,0
Phil Foden,MID,Man City,0,0,0,0,0.0,220,22,0,0,0.0,0.0,2019-08-25T13:00:00Z,0,3,0,0,0,0,3,0,35449,3,1,0.0,0,-7058,846,7904,54,False,0
Phil Jagielka,DEF,Sheffield Utd,0,0,0,0,0.0,444,27,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,9,0,0,0,0,3,0,39627,2,1,0.0,0,-5193,747,5940,44,True,0
Phil Jones,DEF,Man Utd,0,0,0,0,0.0,231,25,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,7,0,0,0,0,3,0,11615,2,1,0.0,0,-1393,320,1713,49,True,0
Pierre-Emerick Aubameyang,FWD,Arsenal,1,0,17,0,25.3,11,24,3,0,5.5,7.0,2019-08-24T16:30:00Z,90,10,0,0,0,0,3,0,1573634,1,3,23.0,5,-248663,52971,301634,110,False,0
Pierre-Emile Højbjerg,MID,Southampton,0,0,3,1,2.8,325,23,0,0,0.9,6.0,2019-08-24T14:00:00Z,90,4,0,0,0,0,3,0,40492,2,0,0.0,2,-6074,985,7059,50,False,1
Pontus Dahlberg,GK,Watford,0,0,0,0,0.0,367,29,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,19,0,0,0,0,3,0,9837,3,1,0.0,0,-583,127,710,45,True,0
Rachid Ghezzal,MID,Leicester,0,0,0,0,0.0,173,27,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,15,0,0,0,0,3,0,3837,2,1,0.0,0,-602,84,686,54,False,0
Rafael Camacho,MID,Liverpool,0,0,0,0,0.0,201,24,0,0,0.0,0.0,2019-08-24T16:30:00Z,0,1,0,0,0,0,3,0,421,1,3,0.0,0,-7,48,55,45,True,0
Raheem Sterling,MID,Man City,0,1,30,0,12.8,214,22,1,1,12.1,43.2,2019-08-25T13:00:00Z,90,3,0,0,0,0,3,0,2784422,3,1,65.0,8,331963,360262,28299,122,False,0
Ralf Fahrmann,GK,Norwich,0,0,0,0,0.0,449,26,0,0,0.0,0.0,2019-08-24T11:30:00Z,0,6,0,0,0,0,3,0,32015,3,2,0.0,0,-3309,427,3736,45,True,0
Ravel Morrison,MID,Sheffield Utd,0,0,0,0,0.6,456,27,0,0,0.2,0.0,2019-08-24T14:00:00Z,12,9,0,0,0,0,3,0,9962,2,1,4.0,1,-1874,341,2215,49,True,0
Raúl Jiménez,FWD,Wolves,0,3,31,0,24.4,409,30,1,1,10.8,40.4,2019-08-25T15:30:00Z,90,5,0,0,0,0,3,0,1128333,1,1,43.0,9,-132727,73959,206686,75,True,0
Reece James,DEF,Chelsea,0,0,0,0,0.0,506,26,0,0,0.0,0.0,2019-08-24T11:30:00Z,0,14,0,0,0,0,3,0,3385,3,2,0.0,0,-736,92,828,50,False,0
Reiss Nelson,MID,Arsenal,0,0,0,0,0.0,489,24,0,0,0.0,0.0,2019-08-24T16:30:00Z,0,10,0,0,0,0,3,0,10885,1,3,0.0,0,-1910,1305,3215,55,False,0
Rhian Brewster,FWD,Liverpool,0,0,0,0,0.0,464,24,0,0,0.0,0.0,2019-08-24T16:30:00Z,0,1,0,0,0,0,3,0,40473,1,3,0.0,0,-324,6752,7076,45,True,0
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,14,0,3.3,159,27,1,0,2.3,19.4,2019-08-24T14:00:00Z,90,15,0,0,0,0,3,0,371329,2,1,0.0,2,5725,34696,28971,60,False,0
Richard Stearman,DEF,Sheffield Utd,0,0,0,0,0.0,296,27,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,9,0,0,0,0,3,0,157226,2,1,0.0,0,-7897,7036,14933,40,True,0
Richarlison de Andrade,MID,Everton,0,0,13,0,3.0,150,21,1,0,3.2,10.8,2019-08-23T19:00:00Z,77,2,0,0,0,0,3,0,476562,0,2,18.0,2,-88177,17655,105832,80,False,0
Riyad Mahrez,MID,Man City,0,0,5,0,13.6,217,22,0,0,2.0,4.6,2019-08-25T13:00:00Z,11,3,0,0,0,0,3,0,249610,3,1,2.0,1,-26623,41077,67700,85,False,0
Robbie Brady,MID,Burnley,0,0,0,0,0.0,98,30,0,0,0.0,0.0,2019-08-25T15:30:00Z,0,20,0,0,0,0,3,0,1386,1,1,0.0,0,-189,34,223,55,False,0
Robert Kenedy Nunes do Nascimento,MID,Chelsea,0,0,0,0,0.0,462,26,0,0,0.0,0.0,2019-08-24T11:30:00Z,0,14,0,0,0,0,3,0,4544,3,2,0.0,0,-592,152,744,54,False,0
Roberto Firmino,FWD,Liverpool,0,0,8,0,5.8,187,24,1,0,11.5,10.6,2019-08-24T16:30:00Z,85,1,0,0,0,0,3,0,733558,1,3,99.0,2,23315,95558,72243,95,True,0
Roberto Jimenez Gago,GK,West Ham,0,0,0,0,0.0,450,29,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,18,0,0,0,0,3,0,18445,3,1,0.0,0,-989,191,1180,45,False,0
Roberto Pereyra,MID,Watford,0,0,0,0,0.0,369,29,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,19,0,0,0,0,3,0,145787,3,1,0.0,0,-61919,2549,64468,59,True,0
Robert Snodgrass,MID,West Ham,0,0,0,0,0.0,393,29,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,18,0,0,0,0,3,0,16524,3,1,0.0,0,-1396,719,2115,55,False,0
Rob Holding,DEF,Arsenal,0,0,0,0,0.0,10,24,0,0,0.0,0.0,2019-08-24T16:30:00Z,0,10,0,0,0,0,3,0,5091,1,3,0.0,0,-759,116,875,45,False,0
Rodrigo Hernandez,MID,Man City,0,0,6,0,2.0,443,22,0,0,2.3,3.0,2019-08-25T13:00:00Z,32,3,0,0,0,0,3,0,103766,3,1,18.0,1,-8588,12341,20929,55,False,0
Rolando Aarons,MID,Newcastle,0,0,0,0,0.0,499,28,0,0,0.0,0.0,2019-08-25T15:30:00Z,0,17,0,0,0,0,3,0,4024,1,0,0.0,0,-472,236,708,50,False,0
Romain Saïss,DEF,Wolves,0,0,0,0,0.0,407,30,0,0,0.0,0.0,2019-08-25T15:30:00Z,0,5,0,0,0,0,3,0,17094,1,1,0.0,0,-1781,568,2349,45,True,0
Romelu Lukaku,FWD,Man Utd,0,0,0,0,0.0,232,25,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,7,0,0,0,0,3,0,28606,2,1,0.0,0,-4457,143,4600,85,True,0
Ross Barkley,MID,Chelsea,0,0,17,0,60.0,117,26,2,0,13.4,22.6,2019-08-24T11:30:00Z,90,14,0,0,0,0,3,0,280596,3,2,51.0,2,-154246,7608,161854,59,False,0
